Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,78.57,,70.29
2024-12-31,74.01,$1.12,66.21
2024-09-30,64.59,$18.07,3.57
2024-06-30,73.15,$4.85,15.08
2024-03-31,71.57,$4.28,16.74
2023-12-31,67.8,$10.32,6.57
2023-09-30,53.85,$-1.81,0.0
2023-06-30,55.38,$5.70,9.71
2023-03-31,50.91,$4.35,11.71
2022-12-31,80.68,$0.57,140.7
2022-09-30,69.45,$4.60,15.1
2022-06-30,60.86,$0.82,74.06
2022-03-31,80.97,$4.69,17.28
2021-12-31,80.6,$0.63,127.2
2021-09-30,69.65,$7.47,9.32
2021-06-30,69.45,$6.44,10.78
2021-03-31,62.02,$-5.97,0.0
2020-12-31,50.3,$4.34,11.6
2020-09-30,34.22,$-2.23,0.0
2020-06-30,31.7,$1.90,16.7
2020-03-31,31.43,$16.26,1.93
2019-12-31,44.29,$6.53,6.78
2019-09-30,38.8,$9.06,4.28
2019-06-30,37.11,$5.92,6.26
2019-03-31,39.33,$6.61,5.95
2018-12-31,38.06,$8.73,4.36
2018-09-30,44.92,$0.59,76.19
2018-06-30,46.59,$2.13,21.84
2018-03-31,47.53,$0.40,117.85
2017-12-31,46.66,$-0.92,0.0
2017-09-30,39.66,$3.53,11.24
2017-06-30,38.88,$0.69,56.44
2017-03-31,36.86,$1.53,24.02
2016-12-31,35.57,$2.44,14.57
2016-09-30,28.39,$1.15,24.65
2016-06-30,22.71,$2.38,9.52
2016-03-31,25.08,$1.45,17.33
2015-12-31,29.4,$0.74,39.81
2015-09-30,25.45,$0.70,36.39
2015-06-30,29.04,$0.58,50.47
2015-03-31,27.02,$0.44,61.25
2014-12-31,26.74,$1.48,18.05
2014-09-30,25.98,$1.48,17.53
2014-06-30,23.75,$1.30,18.23
2014-03-31,24.05,$1.43,16.87
2013-12-31,22.82,$1.09,20.97
2013-09-30,18.51,$1.17,15.83
2013-06-30,18.54,$1.16,15.99
2013-03-31,15.4,$0.51,30.33
2012-12-31,12.45,$0.88,14.2
2012-09-30,11.04,$0.54,20.39
2012-06-30,11.11,$0.10,116.84
2012-03-31,12.29,$0.85,14.39
2011-12-31,9.59,$1.86,5.16
2011-09-30,9.55,$1.11,8.62
2011-06-30,13.87,$1.22,11.37
2011-03-31,15.15,$1.45,10.43
2010-12-31,14.33,$-0.12,0.0
2010-09-30,11.6,$0.91,12.74
2010-06-30,11.78,$0.41,28.75
2010-03-31,15.48,$0.49,31.73
2009-12-31,15.54,$1.12,13.9
