Stereotaxis Price to Free Cash Flow Ratio Historical Data,Stereotaxis Price to Free Cash Flow Ratio Historical Data,Stereotaxis Price to Free Cash Flow Ratio Historical Data,Stereotaxis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.04,,0.0
2024-12-31,2.28,$-0.10,0.0
2024-09-30,2.04,$-0.15,0.0
2024-06-30,1.82,$-0.11,0.0
2024-03-31,2.61,$-0.10,0.0
2023-12-31,1.75,$-0.12,0.0
2023-09-30,1.58,$-0.12,0.0
2023-06-30,1.53,$-0.15,0.0
2023-03-31,2.04,$-0.14,0.0
2022-12-31,2.07,$-0.14,0.0
2022-09-30,1.8,$-0.14,0.0
2022-06-30,1.84,$-0.12,0.0
2022-03-31,3.73,$-0.10,0.0
2021-12-31,6.2,$-0.06,0.0
2021-09-30,5.38,$-0.02,0.0
2021-06-30,9.64,$-0.01,0.0
2021-03-31,6.72,$-0.02,0.0
2020-12-31,5.09,$-0.05,0.0
2020-09-30,3.58,$-0.08,0.0
2020-06-30,4.46,$0.09,49.45
2020-03-31,3.02,$0.07,40.7
2019-12-31,5.29,$-0.07,0.0
2019-09-30,3.51,$0.03,102.93
2016-06-30,0.98,$-0.14,0.0
2016-03-31,1.1,$-0.14,0.0
2015-12-31,0.74,$-0.13,0.0
2015-09-30,0.93,$-0.28,0.0
2015-06-30,1.44,$-0.38,0.0
2015-03-31,2.05,$-0.50,0.0
2014-12-31,1.48,$-0.46,0.0
2014-09-30,2.32,$-0.54,0.0
2014-06-30,3.55,$-0.43,0.0
2014-03-31,4.25,$-0.53,0.0
2013-12-31,3.62,$-0.55,0.0
2013-09-30,3.33,$-0.57,0.0
2013-06-30,1.55,$-1.25,0.0
2013-03-31,2.0,$-1.12,0.0
2012-12-31,2.55,$-1.76,0.0
2012-09-30,1.43,$-3.71,0.0
2012-06-30,2.1,$-4.06,0.0
2012-03-31,6.5,$-4.84,0.0
2011-12-31,8.24,$-5.95,0.0
2011-09-30,11.1,$-4.77,0.0
2011-06-30,35.1,$-3.95,0.0
2011-03-31,38.7,$-4.49,0.0
2010-12-31,38.3,$-3.88,0.0
2010-09-30,41.4,$-3.44,0.0
2010-06-30,33.1,$-4.08,0.0
2010-03-31,50.1,$-3.99,0.0
2009-12-31,39.3,$-5.49,0.0
