Alarum Technologies Price to Free Cash Flow Ratio Historical Data,Alarum Technologies Price to Free Cash Flow Ratio Historical Data,Alarum Technologies Price to Free Cash Flow Ratio Historical Data,Alarum Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.61,,5.86
2024-09-30,10.64,$1.13,9.43
2024-06-30,41.71,$2.06,20.21
2024-03-31,19.74,$1.13,17.49
2023-12-31,7.76,$1.13,6.87
2023-09-30,3.43,$-2.56,0.0
2023-06-30,2.41,$-1.04,0.0
2023-03-31,1.76,$-2.56,0.0
2022-12-31,2.4,$-2.56,0.0
2022-09-30,4.43,$-3.39,0.0
2022-06-30,4.85,$-3.64,0.0
2022-03-31,8.2,$-3.39,0.0
2021-12-31,7.1,$-3.39,0.0
2021-09-30,10.9,$-204.94,0.0
2021-06-30,14.9,$-200.56,0.0
2021-03-31,13.5,$-204.94,0.0
2020-12-31,14.2,$-204.94,0.0
2020-09-30,10.2,$-193.13,0.0
2020-06-30,16.6,$-85.89,0.0
2020-03-31,16.6,$-193.13,0.0
2019-12-31,30.25,$-193.13,0.0
2019-09-30,111.18,$-49.27,0.0
2019-06-30,334.0,$-162.22,0.0
