First Western Financial Price to Free Cash Flow Ratio Historical Data,First Western Financial Price to Free Cash Flow Ratio Historical Data,First Western Financial Price to Free Cash Flow Ratio Historical Data,First Western Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.38,,0.0
2024-12-31,19.55,$-0.18,0.0
2024-09-30,20.0,$1.48,13.52
2024-06-30,17.0,$1.16,14.67
2024-03-31,14.58,$1.73,8.43
2023-12-31,19.83,$2.01,9.87
2023-09-30,18.15,$1.99,9.13
2023-06-30,18.6,$3.03,6.13
2023-03-31,19.8,$4.90,4.04
2022-12-31,28.15,$4.72,5.96
2022-09-30,24.65,$7.06,3.49
2022-06-30,27.19,$4.86,5.6
2022-03-31,31.26,$20.78,1.5
2021-12-31,30.36,$19.50,1.56
2021-09-30,28.85,$7.95,3.63
2021-06-30,25.89,$5.11,5.07
2021-03-31,25.01,$-10.91,0.0
2020-12-31,19.57,$-11.83,0.0
2020-09-30,12.95,$-0.65,0.0
2020-06-30,14.25,$-1.74,0.0
2020-03-31,14.14,$-4.40,0.0
2019-12-31,16.47,$-2.77,0.0
2019-09-30,17.09,$-4.45,0.0
2019-06-30,13.26,$0.27,49.76
