B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.21,,186.63
2024-09-30,3.04,$0.02,176.51
2024-06-30,2.62,$0.10,26.42
2024-03-31,2.5,$0.20,12.56
2023-12-31,3.02,$-0.08,0.0
2023-09-30,2.73,$0.17,16.49
2023-06-30,3.33,$0.27,12.24
2023-03-31,3.64,$0.29,12.75
2022-12-31,3.26,$0.24,13.75
2022-09-30,2.9,$0.19,15.27
2022-06-30,3.02,$0.40,7.49
2022-03-31,4.04,$0.35,11.55
2021-12-31,3.43,$0.40,8.64
2021-09-30,2.96,$0.36,8.23
2021-06-30,3.6,$0.34,10.5
2021-03-31,3.65,$0.55,6.62
2020-12-31,4.7,$0.57,8.31
2020-09-30,5.44,$0.50,10.94
2020-06-30,4.72,$0.39,12.08
2020-03-31,2.53,$0.28,8.92
2019-12-31,3.31,$0.23,14.66
2019-09-30,2.66,$0.20,13.18
2019-06-30,2.49,$0.19,12.95
2019-03-31,2.31,$0.19,12.3
2018-12-31,2.4,$0.22,10.98
2018-09-30,1.89,$0.38,5.01
2018-06-30,2.12,$0.21,10.3
2018-03-31,2.25,$0.11,21.25
2017-12-31,2.55,$-0.04,0.0
2017-09-30,2.3,$-0.26,0.0
2017-06-30,2.31,$-0.19,0.0
2017-03-31,2.33,$-0.14,0.0
2016-12-31,1.95,$0.02,78.31
2016-09-30,2.16,$0.02,109.28
2016-06-30,2.07,$-0.02,0.0
2016-03-31,1.37,$-0.06,0.0
2015-12-31,0.84,$-0.12,0.0
2015-09-30,0.86,$-0.09,0.0
2015-06-30,1.26,$-0.08,0.0
2015-03-31,1.25,$-0.12,0.0
2014-12-31,1.33,$-0.26,0.0
2014-09-30,1.67,$-0.31,0.0
2014-06-30,2.4,$-0.35,0.0
2014-03-31,2.21,$-0.39,0.0
2013-12-31,1.66,$-0.27,0.0
2013-09-30,2.04,$-0.24,0.0
2013-06-30,1.75,$-0.16,0.0
2013-03-31,2.52,$-0.07,0.0
2012-12-31,2.94,$-0.09,0.0
2012-09-30,3.29,$-0.05,0.0
