Affinity Bancshares Price to Free Cash Flow Ratio Historical Data,Affinity Bancshares Price to Free Cash Flow Ratio Historical Data,Affinity Bancshares Price to Free Cash Flow Ratio Historical Data,Affinity Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.77,,16.51
2024-09-30,21.41,$1.08,19.89
2024-06-30,21.2,$0.74,28.57
2024-03-31,16.55,$1.01,16.4
2023-12-31,15.97,$1.12,14.26
2023-09-30,14.79,$0.71,20.72
2023-06-30,11.69,$0.76,15.46
2023-03-31,14.32,$0.68,21.07
2022-12-31,15.1,$0.91,16.54
2022-09-30,14.61,$0.86,17.09
2022-06-30,14.85,$0.58,25.45
2022-03-31,15.71,$0.86,18.23
2021-12-31,15.4,$1.58,9.74
2021-09-30,14.05,$2.02,6.96
2021-06-30,12.97,$2.33,5.56
2021-03-31,12.19,$1.79,6.8
2020-12-31,9.9,$0.13,77.52
2020-09-30,7.15,$0.02,340.48
2020-06-30,8.33,$-0.43,0.0
2020-03-31,7.43,$-0.39,0.0
2019-12-31,11.45,$0.17,68.36
2019-09-30,10.19,$-0.42,0.0
2019-06-30,9.93,$-0.23,0.0
2019-03-31,10.25,$-0.01,0.0
2018-12-31,11.65,$-0.17,0.0
2018-09-30,11.7,$0.15,78.95
2018-06-30,11.11,$0.27,41.36
2018-03-31,11.36,$-0.20,0.0
