WW Price to Free Cash Flow Ratio Historical Data,WW Price to Free Cash Flow Ratio Historical Data,WW Price to Free Cash Flow Ratio Historical Data,WW Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.6,,0.0
2024-12-31,1.27,$-0.42,0.0
2024-09-30,0.88,$-0.46,0.0
2024-06-30,1.17,$-0.39,0.0
2024-03-31,1.85,$-0.38,0.0
2023-12-31,8.75,$-0.39,0.0
2023-09-30,11.07,$-0.55,0.0
2023-06-30,6.72,$-0.15,0.0
2023-03-31,4.12,$0.30,13.65
2022-12-31,3.86,$0.55,7.07
2022-09-30,3.93,$1.06,3.71
2022-06-30,6.39,$1.52,4.21
2022-03-31,10.23,$1.73,5.92
2021-12-31,16.13,$1.69,9.54
2021-09-30,18.25,$1.37,13.34
2021-06-30,36.14,$1.31,27.61
2021-03-31,31.28,$1.09,28.77
2020-12-31,24.4,$1.22,19.98
2020-09-30,18.87,$1.46,12.92
2020-06-30,25.38,$1.31,19.32
2020-03-31,16.91,$1.81,9.35
2019-12-31,38.21,$1.93,19.77
2019-09-30,37.82,$2.07,18.31
2019-06-30,19.1,$2.25,8.48
2019-03-31,20.15,$2.54,7.93
2018-12-31,38.55,$3.55,10.86
2018-09-30,71.99,$3.59,20.07
2018-06-30,101.1,$3.60,28.09
2018-03-31,63.72,$3.13,20.37
2017-12-31,44.28,$2.66,16.64
2017-09-30,43.55,$2.50,17.42
2017-06-30,33.42,$2.01,16.66
2017-03-31,15.57,$1.22,12.74
2016-12-31,11.45,$1.29,8.91
2016-09-30,10.32,$0.92,11.24
2016-06-30,11.63,$0.71,16.44
2016-03-31,14.53,$1.18,12.34
2015-12-31,22.8,$0.31,72.45
2015-09-30,6.38,$0.18,36.02
2015-06-30,4.85,$0.93,5.21
2015-03-31,6.99,$1.53,4.58
2014-12-31,24.84,$3.17,7.83
2014-09-30,27.44,$3.67,7.49
2014-06-30,20.17,$4.52,4.47
2014-03-31,20.54,$4.33,4.75
2013-12-31,32.93,$4.64,7.1
2013-09-30,37.37,$4.41,8.47
2013-06-30,45.78,$4.17,10.97
2013-03-31,41.74,$4.74,8.81
2012-12-31,51.68,$4.23,12.2
2012-09-30,51.93,$4.46,11.64
2012-06-30,50.53,$4.21,12.02
2012-03-31,75.2,$3.61,20.84
2011-12-31,53.59,$4.89,10.97
2011-09-30,56.56,$5.15,10.98
2011-06-30,73.06,$4.82,15.15
2011-03-31,67.7,$5.04,13.42
2010-12-31,36.11,$3.42,10.56
2010-09-30,29.9,$3.15,9.48
2010-06-30,24.49,$2.97,8.26
2010-03-31,24.16,$2.58,9.38
2009-12-31,27.41,$3.14,8.73
