TransAct Technologies Price to Free Cash Flow Ratio Historical Data,TransAct Technologies Price to Free Cash Flow Ratio Historical Data,TransAct Technologies Price to Free Cash Flow Ratio Historical Data,TransAct Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.89,,0.0
2024-09-30,4.86,$-0.00,0.0
2024-06-30,3.77,$0.05,74.95
2024-03-31,5.24,$0.41,12.7
2023-12-31,6.98,$0.46,15.19
2023-09-30,6.42,$0.54,11.8
2023-06-30,8.96,$0.48,18.6
2023-03-31,6.19,$-0.74,0.0
2022-12-31,6.32,$-1.36,0.0
2022-09-30,3.65,$-1.47,0.0
2022-06-30,3.98,$-1.51,0.0
2022-03-31,7.06,$-0.81,0.0
2021-12-31,10.9,$-0.42,0.0
2021-09-30,13.9,$-0.38,0.0
2021-06-30,13.73,$-0.63,0.0
2021-03-31,10.87,$-0.38,0.0
2020-12-31,7.1,$-0.54,0.0
2020-09-30,5.0,$-0.16,0.0
2020-06-30,4.58,$-0.07,0.0
2020-03-31,3.11,$0.18,17.52
2019-12-31,10.97,$0.45,24.2
2019-09-30,12.05,$0.14,87.03
2019-06-30,11.09,$0.39,28.28
2019-03-31,8.91,$0.03,315.95
2018-12-31,8.68,$0.47,18.52
2018-09-30,13.81,$0.55,25.17
2018-06-30,11.91,$0.41,29.37
2018-03-31,12.34,$0.77,15.93
2017-12-31,12.45,$0.65,19.16
2017-09-30,9.1,$0.56,16.4
2017-06-30,7.82,$0.80,9.82
2017-03-31,7.41,$0.65,11.33
2016-12-31,5.97,$0.53,11.36
2016-09-30,6.69,$0.68,9.86
2016-06-30,7.09,$0.61,11.71
2016-03-31,7.12,$0.20,34.99
2015-12-31,7.43,$0.59,12.7
2015-09-30,7.77,$0.58,13.36
2015-06-30,5.67,$0.43,13.12
2015-03-31,4.96,$0.87,5.67
2014-12-31,4.53,$0.65,6.98
2014-09-30,5.51,$0.38,14.53
2014-06-30,8.37,$0.28,30.1
2014-03-31,9.21,$0.07,135.49
2013-12-31,9.99,$0.20,49.77
2013-09-30,10.38,$0.13,80.89
2013-06-30,6.43,$0.50,12.78
2013-03-31,6.19,$0.88,7.06
2012-12-31,5.59,$0.76,7.36
2012-09-30,5.72,$0.73,7.8
2012-06-30,5.92,$0.61,9.68
2012-03-31,6.03,$0.38,15.95
2011-12-31,5.58,$0.09,63.66
2011-09-30,6.23,$0.31,19.79
2011-06-30,8.99,$0.33,27.15
2011-03-31,9.13,$-0.13,0.0
2010-12-31,7.24,$0.11,67.06
2010-09-30,6.14,$0.40,15.34
2010-06-30,5.61,$0.67,8.38
2010-03-31,5.65,$0.96,5.88
2009-12-31,5.33,$0.82,6.47
