Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,35.73,,0.0
2024-09-30,35.35,$-6.77,0.0
2024-06-30,34.67,$-6.18,0.0
2024-03-31,35.56,$-5.37,0.0
2023-12-31,31.18,$-5.13,0.0
2023-09-30,28.62,$-4.38,0.0
2023-06-30,35.3,$-4.53,0.0
2023-03-31,36.92,$-4.28,0.0
2022-12-31,39.35,$-3.75,0.0
2022-09-30,37.79,$-4.23,0.0
2022-06-30,41.42,$-4.23,0.0
2022-03-31,41.6,$-4.35,0.0
2021-12-31,43.96,$-3.88,0.0
2021-09-30,42.44,$-4.35,0.0
2021-06-30,44.56,$-4.51,0.0
2021-03-31,42.8,$-4.03,0.0
2020-12-31,38.68,$-4.80,0.0
2020-09-30,42.53,$-3.87,0.0
2020-06-30,35.06,$-3.44,0.0
2020-03-31,36.21,$-5.10,0.0
2019-12-31,41.96,$-4.54,0.0
2019-09-30,42.47,$-3.73,0.0
2019-06-30,40.7,$-2.53,0.0
2018-12-31,39.66,$0.07,558.64
2018-09-30,37.63,$-0.83,0.0
2018-06-30,41.2,$-0.88,0.0
2018-03-31,39.45,$-1.96,0.0
2017-12-31,38.69,$-3.01,0.0
2019-03-31,40.23,$-1.55,0.0
2017-09-30,35.97,$-2.25,0.0
2017-06-30,33.19,$-1.65,0.0
2017-03-31,31.83,$-0.97,0.0
2016-12-31,27.92,$-0.31,0.0
2016-09-30,30.44,$1.84,16.55
