Regulus Therapeutics Price to Free Cash Flow Ratio Historical Data,Regulus Therapeutics Price to Free Cash Flow Ratio Historical Data,Regulus Therapeutics Price to Free Cash Flow Ratio Historical Data,Regulus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.36,,0.0
2024-12-31,1.58,$-0.75,0.0
2024-09-30,1.57,$-0.83,0.0
2024-06-30,1.79,$-1.01,0.0
2024-03-31,2.88,$-1.27,0.0
2023-12-31,1.28,$-1.44,0.0
2023-09-30,1.37,$-1.47,0.0
2023-06-30,1.47,$-1.57,0.0
2023-03-31,0.85,$-1.73,0.0
2022-12-31,1.37,$-1.70,0.0
2022-09-30,1.7,$-2.26,0.0
2022-06-30,2.07,$-2.31,0.0
2022-03-31,2.98,$-2.48,0.0
2021-12-31,3.15,$-2.84,0.0
2021-09-30,6.91,$-1.36,0.0
2021-06-30,8.13,$-1.23,0.0
2021-03-31,15.6,$-1.90,0.0
2020-12-31,13.5,$-3.58,0.0
2020-09-30,5.14,$-8.51,0.0
2020-06-30,6.82,$-9.30,0.0
2020-03-31,4.61,$-9.81,0.0
2019-12-31,8.9,$-11.43,0.0
2019-09-30,7.2,$-11.57,0.0
2019-06-30,12.5,$-23.56,0.0
2019-03-31,10.2,$-35.77,0.0
2018-12-31,9.31,$-49.66,0.0
2018-09-30,23.71,$-75.55,0.0
2018-06-30,79.1,$-44.65,0.0
2018-03-31,86.1,$-69.58,0.0
2017-12-31,124.8,$-94.22,0.0
2017-09-30,150.0,$-98.47,0.0
2017-06-30,118.27,$-152.49,0.0
2017-03-31,198.0,$-152.69,0.0
2016-12-31,270.0,$-131.29,0.0
2016-09-30,396.0,$-138.43,0.0
2016-06-30,346.8,$-129.61,0.0
2016-03-31,831.6,$-113.30,0.0
2015-12-31,1046.4,$-119.61,0.0
2015-09-30,785.4,$-110.94,0.0
2015-06-30,1315.2,$-108.03,0.0
2015-03-31,2032.8,$-112.64,0.0
2014-12-31,1924.8,$-110.70,0.0
2014-09-30,819.6,$-111.73,0.0
2014-06-30,964.8,$-94.37,0.0
2014-03-31,1082.4,$-92.28,0.0
2013-12-31,886.8,$-90.88,0.0
2013-09-30,1131.6,$-200.99,0.0
