Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.53,,28.69
2024-12-31,48.17,$1.83,26.31
2024-09-30,44.86,$1.72,26.05
2024-06-30,30.59,$1.65,18.49
2024-03-31,39.29,$1.67,23.54
2023-12-31,41.73,$1.82,22.97
2023-09-30,54.65,$1.78,30.68
2023-06-30,55.27,$2.51,22.0
2023-03-31,61.88,$2.58,23.97
2022-12-31,53.23,$1.73,30.82
2022-09-30,45.99,$1.59,28.9
2022-06-30,47.01,$0.56,84.59
2022-03-31,40.16,$0.56,72.12
2021-12-31,48.06,$1.02,47.19
2021-09-30,55.9,$1.55,36.01
2021-06-30,63.61,$2.12,29.99
2021-03-31,56.75,$2.18,26.01
2020-12-31,54.6,$1.73,31.58
2020-09-30,50.54,$1.58,32.07
2020-06-30,45.88,$1.48,31.06
2020-03-31,40.69,$1.26,32.3
2019-12-31,45.71,$1.93,23.64
2019-09-30,43.13,$2.01,21.42
2019-06-30,43.74,$1.85,23.66
2019-03-31,42.38,$1.69,25.07
2018-12-31,31.55,$2.18,14.44
2018-09-30,32.93,$1.51,21.8
2018-06-30,35.97,$1.66,21.72
2018-03-31,38.71,$1.71,22.66
2017-12-31,37.25,$1.18,31.61
2017-09-30,37.11,$1.73,21.41
