Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.58,,8.55
2024-12-31,42.53,$4.39,9.68
2024-09-30,37.74,$3.85,9.81
2024-06-30,33.04,$3.71,8.9
2024-03-31,31.86,$3.33,9.57
2023-12-31,28.83,$2.68,10.74
2023-09-30,24.3,$2.53,9.6
2023-06-30,25.28,$2.56,9.86
2023-03-31,24.35,$2.49,9.77
2022-12-31,21.2,$2.81,7.54
2022-09-30,17.98,$3.60,5.0
2022-06-30,20.49,$4.11,4.99
2022-03-31,30.09,$4.74,6.34
2021-12-31,35.64,$5.25,6.79
2021-09-30,34.85,$4.83,7.22
2021-06-30,32.43,$3.97,8.16
2021-03-31,25.77,$3.47,7.43
2020-12-31,26.58,$3.49,7.61
2020-09-30,17.51,$3.31,5.3
2020-06-30,16.77,$3.16,5.3
2020-03-31,11.9,$2.64,4.51
2019-12-31,18.72,$2.26,8.3
2019-09-30,16.95,$2.42,7.0
2019-06-30,15.85,$2.77,5.72
2019-03-31,18.2,$2.78,6.56
2018-12-31,14.87,$3.28,4.54
2018-09-30,18.77,$3.66,5.12
2018-06-30,21.12,$3.12,6.77
2018-03-31,22.49,$2.91,7.73
