Vivakor Price to Free Cash Flow Ratio Historical Data,Vivakor Price to Free Cash Flow Ratio Historical Data,Vivakor Price to Free Cash Flow Ratio Historical Data,Vivakor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,0.0
2024-09-30,1.54,$-0.03,0.0
2024-06-30,2.0,$-0.14,0.0
2024-03-31,0.79,$-0.20,0.0
2023-12-31,1.05,$-0.21,0.0
2023-09-30,1.02,$-0.36,0.0
2023-06-30,1.13,$-0.33,0.0
2023-03-31,1.15,$-0.45,0.0
2022-12-31,1.03,$-0.41,0.0
