Virco Manufacturing Price to Free Cash Flow Ratio Historical Data,Virco Manufacturing Price to Free Cash Flow Ratio Historical Data,Virco Manufacturing Price to Free Cash Flow Ratio Historical Data,Virco Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.72,,3.95
2024-10-31,14.03,$2.46,5.7
2024-07-31,17.57,$3.11,5.65
2024-04-30,10.64,$1.80,5.91
2024-01-31,11.92,$1.32,9.0
2023-10-31,6.05,$0.71,8.55
2023-07-31,4.42,$-0.57,0.0
2023-04-30,3.7,$-0.04,0.0
2023-01-31,4.87,$-0.44,0.0
2022-10-31,4.11,$-0.19,0.0
2022-07-31,4.17,$-0.95,0.0
2022-04-30,2.76,$-0.98,0.0
2022-01-31,2.95,$-0.21,0.0
2021-10-31,3.3,$-0.41,0.0
2021-07-31,3.3,$0.86,3.84
2021-04-30,3.17,$0.57,5.54
2021-01-31,2.73,$0.36,7.51
2020-10-31,1.95,$0.58,3.36
2020-07-31,2.2,$1.19,1.86
2020-04-30,2.36,$0.95,2.48
2020-01-31,4.11,$0.35,11.6
2019-10-31,3.91,$0.30,13.14
2019-07-31,4.48,$0.01,349.87
2019-04-30,4.49,$-0.27,0.0
2019-01-31,4.21,$-0.20,0.0
2018-10-31,4.27,$0.22,19.35
2018-07-31,5.1,$-0.55,0.0
2018-04-30,4.08,$-0.19,0.0
2018-01-31,4.6,$-0.30,0.0
2017-10-31,5.76,$-0.70,0.0
2017-07-31,5.32,$0.10,52.13
2017-04-30,4.39,$-0.01,0.0
2017-01-31,4.3,$0.10,45.04
2016-10-31,4.25,$0.02,206.22
2016-07-31,4.42,$-0.34,0.0
2016-04-30,3.17,$-0.21,0.0
2016-01-31,3.03,$0.22,14.07
2015-10-31,3.54,$0.30,11.65
2015-07-31,2.53,$0.25,10.08
2015-04-30,2.59,$-0.06,0.0
2015-01-31,2.35,$-0.11,0.0
2014-10-31,2.65,$-0.29,0.0
2014-07-31,2.47,$-0.39,0.0
2014-04-30,2.16,$-0.07,0.0
2014-01-31,2.56,$-0.26,0.0
2013-10-31,2.05,$-0.15,0.0
2013-07-31,2.41,$-0.16,0.0
2013-04-30,1.98,$-0.10,0.0
2013-01-31,2.61,$0.37,7.13
2012-10-31,2.35,$0.23,10.04
2012-07-31,1.63,$0.23,6.98
2012-04-30,1.78,$0.17,10.34
2012-01-31,1.74,$-0.21,0.0
2011-10-31,1.76,$-0.22,0.0
2011-07-31,2.48,$0.12,20.83
2011-04-30,2.9,$0.30,9.54
2011-01-31,2.93,$0.18,16.67
2010-10-31,2.79,$-0.01,0.0
2010-07-31,2.78,$0.04,76.73
2010-04-30,3.38,$-0.31,0.0
2010-01-31,3.29,$-0.57,0.0
2009-10-31,2.57,$0.55,4.65
