Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.28,,38.76
2024-12-31,91.25,$2.56,35.63
2024-09-30,96.89,$2.92,33.21
2024-06-30,76.91,$3.35,22.94
2024-03-31,89.61,$3.45,25.95
2023-12-31,93.58,$3.92,23.86
2023-09-30,88.47,$3.29,26.91
2023-06-30,95.52,$2.67,35.72
2023-03-31,99.91,$2.47,40.38
2022-12-31,94.71,$1.90,49.74
2022-09-30,79.98,$2.21,36.25
2022-06-30,72.11,$2.62,27.57
2022-03-31,85.27,$3.07,27.78
2021-12-31,109.08,$3.77,28.93
2021-09-30,102.43,$3.81,26.87
2021-06-30,103.42,$3.92,26.41
2021-03-31,100.66,$2.09,48.27
2020-12-31,98.13,$0.16,599.42
2020-09-30,78.43,$0.10,811.94
2020-06-30,66.82,$-0.43,0.0
2020-03-31,59.37,$0.85,69.9
2019-12-31,79.03,$2.28,34.6
2019-09-30,79.09,$2.63,30.1
2019-06-30,74.7,$7.81,9.57
2019-03-31,66.24,$7.69,8.61
2018-12-31,57.09,$7.72,7.4
2018-09-30,50.12,$7.14,7.02
2018-06-30,42.77,$1.92,22.31
2018-03-31,50.42,$1.93,26.06
2017-12-31,49.75,$2.02,24.66
2017-09-30,46.28,$1.87,24.75
2017-06-30,50.02,$2.14,23.36
2017-03-31,49.88,$2.07,24.05
2016-12-31,47.21,$2.15,21.91
2016-09-30,45.83,$2.19,20.92
2016-06-30,48.18,$1.92,25.06
2016-03-31,50.18,$1.74,28.79
2015-12-31,50.29,$1.74,28.87
2015-09-30,47.47,$1.62,29.27
2015-06-30,44.65,$1.47,30.39
2015-03-31,39.31,$1.53,25.7
2014-12-31,33.93,$1.47,23.13
2014-09-30,31.08,$-0.36,0.0
2014-06-30,31.76,$-0.29,0.0
2014-03-31,30.01,$-0.40,0.0
2013-12-31,31.94,$-0.47,0.0
2013-09-30,31.26,$1.15,27.12
2013-06-30,26.53,$1.01,26.28
2013-03-31,22.99,$0.99,23.17
2012-12-31,21.57,$0.92,23.56
2012-09-30,20.31,$0.58,35.11
2012-06-30,21.27,$0.68,31.16
2012-03-31,22.23,$0.67,33.24
2011-12-31,18.23,$0.63,29.1
2011-09-30,14.72,$0.78,18.92
2011-06-30,15.53,$0.60,25.79
2011-03-31,14.48,$0.60,24.06
2010-12-31,12.54,$0.74,16.86
2010-09-30,9.93,$0.83,12.0
2010-06-30,9.39,$0.90,10.48
2010-03-31,9.34,$0.84,11.1
2009-12-31,8.88,$1.10,8.07
