Scilex Holding Price to Free Cash Flow Ratio Historical Data,Scilex Holding Price to Free Cash Flow Ratio Historical Data,Scilex Holding Price to Free Cash Flow Ratio Historical Data,Scilex Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,3.38
2024-09-30,0.92,$0.08,11.14
2024-06-30,1.93,$0.09,22.18
2024-03-31,1.59,$-0.01,0.0
2023-12-31,2.04,$-0.16,0.0
2023-09-30,1.4,$-0.11,0.0
2023-06-30,5.57,$-0.13,0.0
2023-03-31,8.2,$-0.13,0.0
2022-12-31,3.99,$-0.16,0.0
2022-09-30,10.33,$-0.33,0.0
2022-06-30,10.22,$-0.36,0.0
2022-03-31,10.18,$-0.26,0.0
2021-12-31,10.04,$-0.22,0.0
