Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.69,,7.95
2024-12-31,15.28,$1.97,7.74
2024-09-30,15.75,$0.24,66.38
2024-06-30,17.56,$2.43,7.22
2024-03-31,17.84,$3.84,4.65
2023-12-31,18.01,$4.98,3.61
2023-09-30,17.21,$3.17,5.43
2023-06-30,16.17,$0.89,18.15
2023-03-31,15.19,$0.61,24.74
2022-12-31,16.19,$-1.81,0.0
2022-09-30,13.51,$0.37,36.62
2022-06-30,14.37,$-4.39,0.0
2022-03-31,15.76,$-3.07,0.0
2021-12-31,15.61,$-4.22,0.0
2021-09-30,14.46,$-4.27,0.0
2021-06-30,13.43,$0.57,23.53
2021-03-31,12.21,$-2.98,0.0
2020-12-31,10.77,$-1.99,0.0
2020-09-30,9.17,$-3.25,0.0
2020-06-30,8.3,$-2.72,0.0
2020-03-31,5.89,$0.42,14.17
2019-12-31,9.68,$1.82,5.32
2019-09-30,9.03,$4.59,1.96
2019-06-30,9.28,$1.62,5.74
2019-03-31,8.71,$1.05,8.27
2018-12-31,6.99,$1.70,4.12
2018-09-30,8.02,$1.14,7.04
2018-06-30,7.58,$5.78,1.31
2018-03-31,6.54,$5.88,1.11
2017-12-31,7.46,$7.86,0.95
2017-09-30,8.13,$10.33,0.79
2017-06-30,7.06,$8.54,0.83
2017-03-31,6.68,$7.76,0.86
2016-12-31,7.54,$6.73,1.12
2016-09-30,7.9,$3.27,2.42
2016-06-30,6.39,$-0.27,0.0
2016-03-31,6.39,$5.19,1.23
2015-12-31,7.83,$7.09,1.1
2015-09-30,7.36,$2.73,2.7
2015-06-30,7.6,$6.99,1.09
2015-03-31,8.25,$3.66,2.26
2014-12-31,8.88,$-5.49,0.0
2014-09-30,9.86,$-10.94,0.0
2014-06-30,10.28,$-14.72,0.0
2014-03-31,9.63,$-16.45,0.0
2013-12-31,9.17,$-13.06,0.0
2013-09-30,9.96,$-11.73,0.0
2013-06-30,9.85,$-12.65,0.0
2013-03-31,10.11,$-17.09,0.0
2012-12-31,9.31,$-11.47,0.0
2012-09-30,9.54,$-3.13,0.0
2012-06-30,8.44,$-6.33,0.0
2012-03-31,8.01,$-2.83,0.0
2011-12-31,7.63,$-13.71,0.0
2011-09-30,7.2,$-22.61,0.0
2011-06-30,8.78,$-21.30,0.0
2011-03-31,9.84,$-22.27,0.0
2010-12-31,8.74,$-14.29,0.0
2010-09-30,7.73,$-15.79,0.0
2010-06-30,7.58,$-11.37,0.0
2010-03-31,7.77,$-9.12,0.0
2009-12-31,7.0,$-12.64,0.0
