ANIXA BIOSCIENCES INC Price to Free Cash Flow Ratio Historical Data,ANIXA BIOSCIENCES INC Price to Free Cash Flow Ratio Historical Data,ANIXA BIOSCIENCES INC Price to Free Cash Flow Ratio Historical Data,ANIXA BIOSCIENCES INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.15,,0.0
2025-01-31,2.9,$-0.25,0.0
2024-10-31,3.5,$-0.23,0.0
2024-07-31,3.32,$-0.26,0.0
2024-04-30,2.97,$-0.23,0.0
2024-01-31,4.54,$-0.21,0.0
2023-10-31,3.16,$-0.20,0.0
2023-07-31,3.59,$-0.19,0.0
2023-04-30,4.08,$-0.19,0.0
2023-01-31,4.37,$-0.24,0.0
2022-10-31,5.6,$-0.21,0.0
2022-07-31,3.8,$-0.21,0.0
2022-04-30,3.25,$-0.20,0.0
2022-01-31,3.28,$-0.17,0.0
2021-10-31,4.77,$-0.17,0.0
2021-07-31,4.42,$-0.20,0.0
2021-04-30,4.88,$-0.20,0.0
2021-01-31,3.65,$-0.23,0.0
2020-10-31,2.06,$-0.28,0.0
2020-07-31,2.78,$-0.28,0.0
2020-04-30,1.89,$-0.26,0.0
2020-01-31,3.55,$-0.27,0.0
2019-10-31,3.87,$-0.25,0.0
2019-07-31,4.69,$-0.24,0.0
2019-04-30,4.16,$-0.27,0.0
2019-01-31,5.13,$-0.23,0.0
2018-10-31,4.05,$-0.24,0.0
2018-07-31,3.29,$-0.28,0.0
2018-04-30,3.73,$-0.25,0.0
2018-01-31,3.73,$-0.31,0.0
2017-10-31,2.05,$-0.31,0.0
2017-07-31,0.79,$-0.29,0.0
2017-04-30,1.95,$-0.36,0.0
2017-01-31,4.9,$-0.42,0.0
2016-10-31,6.35,$-0.40,0.0
2016-07-31,3.18,$-0.42,0.0
2016-04-30,2.82,$-0.08,0.0
