TScan Therapeutics Price to Free Cash Flow Ratio Historical Data,TScan Therapeutics Price to Free Cash Flow Ratio Historical Data,TScan Therapeutics Price to Free Cash Flow Ratio Historical Data,TScan Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.61,,0.0
2024-12-31,3.04,$-1.02,0.0
2024-09-30,4.98,$-1.29,0.0
2024-06-30,5.85,$-0.49,0.0
2024-03-31,7.94,$-0.29,0.0
2023-12-31,5.83,$-0.98,0.0
2023-09-30,2.56,$-1.15,0.0
2023-06-30,2.5,$-2.44,0.0
2023-03-31,2.1,$-3.09,0.0
2022-12-31,1.55,$-2.94,0.0
2022-09-30,3.05,$-5.13,0.0
2022-06-30,3.15,$-6.52,0.0
