CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.73,,14.34
2024-12-31,109.32,$6.89,15.87
2024-09-30,114.8,$6.66,17.23
2024-06-30,99.67,$6.55,15.22
2024-03-31,110.34,$6.28,17.58
2023-12-31,107.06,$6.08,17.62
2023-09-30,98.36,$6.09,16.15
2023-06-30,105.29,$5.68,18.53
2023-03-31,96.14,$5.73,16.79
2022-12-31,86.01,$5.84,14.73
2022-09-30,75.14,$5.52,13.61
2022-06-30,79.55,$5.73,13.89
2022-03-31,79.72,$5.61,14.22
2021-12-31,88.38,$5.94,14.87
2021-09-30,84.64,$6.24,13.57
2021-06-30,90.48,$5.95,15.21
2021-03-31,83.11,$6.34,13.11
2020-12-31,79.2,$5.56,14.24
2020-09-30,67.68,$5.06,13.37
2020-06-30,62.91,$4.73,13.31
2020-03-31,54.34,$4.09,13.27
2019-12-31,83.6,$4.24,19.73
2019-09-30,79.03,$3.99,19.8
2019-06-30,76.67,$3.80,20.16
2019-03-31,68.67,$4.70,14.62
2018-12-31,61.11,$3.59,17.03
2018-09-30,64.39,$3.65,17.63
2018-06-30,63.23,$3.68,17.17
2018-03-31,57.56,$2.55,22.58
2017-12-31,54.26,$3.39,16.01
2017-09-30,51.8,$3.14,16.51
2017-06-30,51.0,$4.42,11.55
2017-03-31,47.86,$4.66,10.26
2016-12-31,47.96,$4.25,11.3
2016-09-30,47.57,$4.18,11.39
2016-06-30,42.65,$3.41,12.51
2016-03-31,47.71,$2.84,16.79
2015-12-31,39.98,$2.97,13.46
2015-09-30,36.16,$3.11,11.61
2015-06-30,39.03,$2.85,13.68
2015-03-31,42.39,$3.41,12.42
2014-12-31,38.11,$3.72,10.26
2014-09-30,33.72,$2.91,11.57
2014-06-30,35.43,$2.66,13.32
2014-03-31,30.88,$2.10,14.7
2013-12-31,33.41,$1.53,21.85
2013-09-30,35.05,$2.07,16.91
2013-06-30,29.25,$1.40,20.87
2013-03-31,27.12,$1.93,14.04
2012-12-31,23.1,$1.97,11.7
2012-09-30,26.82,$1.88,14.27
2012-06-30,23.96,$2.37,10.13
2012-03-31,22.26,$1.84,12.12
2011-12-31,18.82,$2.11,8.92
2011-09-30,18.78,$1.89,9.93
2011-06-30,24.62,$1.75,14.09
2011-03-31,20.9,$1.76,11.89
2010-12-31,17.24,$1.52,11.37
2010-09-30,15.01,$1.73,8.66
2010-06-30,14.91,$1.71,8.7
2010-03-31,14.89,$1.84,8.07
2009-12-31,13.54,$2.06,6.57
