Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.71,,6.92
2024-12-31,35.68,$5.45,6.55
2024-09-30,36.39,$4.99,7.3
2024-06-30,37.16,$4.93,7.54
2024-03-31,36.0,$5.18,6.95
2023-12-31,30.9,$4.69,6.59
2023-09-30,32.76,$4.53,7.24
2023-06-30,27.62,$4.89,5.65
2023-03-31,28.87,$5.24,5.51
2022-12-31,29.18,$6.02,4.85
2022-09-30,25.58,$5.58,4.59
2022-06-30,31.5,$5.56,5.67
2022-03-31,29.01,$4.37,6.63
2021-12-31,22.04,$4.04,5.45
2021-09-30,18.02,$3.08,5.86
2021-06-30,20.64,$1.32,15.59
2021-03-31,17.88,$0.20,91.07
2020-12-31,14.24,$-0.58,0.0
2020-09-30,10.27,$-0.30,0.0
2020-06-30,14.02,$0.45,31.15
2020-03-31,13.03,$2.20,5.92
2019-12-31,26.7,$2.48,10.77
2019-09-30,25.45,$3.16,8.05
2019-06-30,24.84,$3.80,6.53
2019-03-31,25.59,$3.07,8.33
2018-12-31,21.87,$2.49,8.78
2018-09-30,30.0,$2.08,14.41
2018-06-30,31.33,$1.24,25.33
2018-03-31,26.42,$1.22,21.64
2017-12-31,27.84,$1.87,14.93
2017-09-30,26.37,$1.92,13.73
2017-06-30,21.81,$1.45,15.04
2017-03-31,22.79,$0.70,32.36
2016-12-31,24.04,$-0.32,0.0
2016-09-30,20.29,$-1.19,0.0
2016-06-30,20.09,$-0.83,0.0
2016-03-31,19.99,$-0.15,0.0
2015-12-31,18.38,$0.27,68.72
2015-09-30,18.89,$0.78,24.26
2015-06-30,19.29,$0.90,21.36
2015-03-31,20.35,$0.99,20.62
2014-12-31,21.94,$1.38,15.95
2014-09-30,24.77,$1.60,15.51
2014-06-30,29.03,$2.12,13.66
2014-03-31,23.67,$2.57,9.21
2013-12-31,23.59,$2.79,8.46
2013-09-30,23.95,$1.74,13.73
2013-06-30,19.63,$1.05,18.73
2013-03-31,19.85,$1.01,19.7
2012-12-31,21.72,$1.29,16.86
2012-09-30,21.55,$2.84,7.58
2012-06-30,18.91,$2.18,8.67
2012-03-31,21.26,$3.72,5.71
2011-09-30,16.43,$3.01,5.46
2011-06-30,25.16,$2.29,10.99
2011-03-31,28.78,$2.72,10.58
2010-12-31,24.52,$-0.03,0.0
2010-09-30,20.79,$0.29,71.87
2010-06-30,18.74,$-0.98,0.0
2010-03-31,20.65,$-0.56,0.0
2009-12-31,22.34,$-0.97,0.0
