Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,210.3,,21.24
2024-12-31,203.3,$9.90,20.53
2024-09-30,206.78,$9.06,22.83
2024-06-30,182.61,$9.32,19.6
2024-03-31,211.66,$8.64,24.5
2023-12-31,207.11,$8.39,24.68
2023-09-30,171.48,$9.42,18.21
2023-06-30,181.95,$7.66,23.75
2023-03-31,166.32,$7.05,23.57
2022-12-31,144.24,$5.99,24.1
2022-09-30,123.79,$3.15,39.29
2022-06-30,120.68,$3.75,32.22
2022-03-31,136.82,$3.53,38.76
2021-12-31,189.98,$4.70,40.45
2021-09-30,164.23,$6.25,26.29
2021-06-30,142.35,$6.69,21.27
2021-03-31,115.69,$6.69,17.28
2020-12-31,118.26,$5.51,21.48
2020-09-30,97.13,$5.41,17.96
2020-06-30,78.37,$5.40,14.52
2020-03-31,81.67,$5.48,14.89
2019-12-31,96.02,$4.82,19.92
2019-09-30,90.01,$4.93,18.25
2019-06-30,89.25,$4.51,19.78
2019-03-31,77.2,$4.02,19.21
2018-12-31,61.48,$3.96,15.54
2018-09-30,79.07,$3.38,23.43
2018-06-30,74.5,$3.38,22.04
2018-03-31,73.64,$3.24,22.73
2017-12-31,71.79,$3.78,19.0
2017-09-30,65.25,$3.52,18.53
2017-06-30,59.41,$3.58,16.6
2017-03-31,58.43,$3.72,15.72
2016-12-31,60.93,$3.25,18.75
2016-09-30,60.43,$2.10,28.73
2016-06-30,54.15,$1.17,46.17
2016-03-31,51.08,$1.58,32.3
2015-12-31,45.87,$2.34,19.57
2015-09-30,48.63,$3.15,15.46
2015-06-30,47.59,$3.78,12.61
2015-03-31,50.36,$3.69,13.65
2014-12-31,57.9,$3.16,18.32
2014-09-30,53.03,$2.91,18.2
2014-06-30,56.06,$2.67,21.02
2014-03-31,53.15,$2.29,23.23
2013-12-31,55.91,$2.59,21.61
2013-09-30,50.83,$2.63,19.32
2013-06-30,40.78,$2.63,15.52
2013-03-31,43.05,$2.53,17.01
2012-12-31,38.47,$2.85,13.48
2012-09-30,33.75,$3.23,10.46
2012-06-30,29.66,$2.91,10.19
2012-03-31,36.14,$2.89,12.49
2011-12-31,30.25,$2.78,10.87
2011-09-30,23.49,$1.97,11.93
2011-06-30,31.08,$2.10,14.81
2011-03-31,33.42,$2.33,14.32
2010-12-31,31.93,$2.43,13.12
2010-09-30,29.62,$2.90,10.22
2010-06-30,24.84,$3.70,6.71
2010-03-31,26.83,$4.45,6.02
2009-12-31,26.61,$4.88,5.45
