Franklin Financial Services Price to Free Cash Flow Ratio Historical Data,Franklin Financial Services Price to Free Cash Flow Ratio Historical Data,Franklin Financial Services Price to Free Cash Flow Ratio Historical Data,Franklin Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.51,,8.4
2024-12-31,29.9,$4.35,6.88
2024-09-30,29.84,$4.81,6.21
2024-06-30,27.73,$4.77,5.82
2024-03-31,25.42,$5.70,4.46
2023-12-31,30.31,$5.95,5.09
2023-09-30,27.11,$6.02,4.5
2023-06-30,26.1,$5.77,4.52
2023-03-31,27.53,$4.61,5.97
2022-12-31,33.21,$2.93,11.33
2022-09-30,28.75,$2.52,11.39
2022-06-30,27.2,$2.18,12.47
2022-03-31,30.11,$2.41,12.51
2021-12-31,29.26,$4.69,6.23
2021-09-30,27.82,$4.62,6.03
2021-06-30,27.7,$3.53,7.85
2021-03-31,26.76,$3.16,8.47
2020-12-31,22.96,$1.36,16.85
2020-09-30,17.93,$1.18,15.17
2020-06-30,21.46,$2.62,8.2
2020-03-31,22.51,$4.47,5.04
