Context Therapeutics Price to Free Cash Flow Ratio Historical Data,Context Therapeutics Price to Free Cash Flow Ratio Historical Data,Context Therapeutics Price to Free Cash Flow Ratio Historical Data,Context Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.77,,0.0
2024-09-30,1.96,$-0.57,0.0
2024-06-30,2.01,$-0.81,0.0
2024-03-31,1.38,$-1.23,0.0
2023-12-31,1.13,$-1.32,0.0
2023-09-30,1.51,$-1.11,0.0
2023-06-30,1.6,$-1.08,0.0
2023-03-31,0.56,$-0.97,0.0
2022-12-31,0.65,$-0.85,0.0
2022-09-30,1.11,$-3.71,0.0
