Alector Price to Free Cash Flow Ratio Historical Data,Alector Price to Free Cash Flow Ratio Historical Data,Alector Price to Free Cash Flow Ratio Historical Data,Alector Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.3,,0.0
2024-12-31,1.89,$-2.39,0.0
2024-09-30,4.66,$-2.36,0.0
2024-06-30,4.54,$-2.40,0.0
2024-03-31,6.02,$-2.29,0.0
2023-12-31,7.98,$-2.23,0.0
2023-09-30,6.48,$-2.27,0.0
2023-06-30,6.01,$-2.34,0.0
2023-03-31,6.19,$-2.53,0.0
2022-12-31,9.23,$-0.30,0.0
2022-09-30,9.46,$-0.07,0.0
2022-06-30,10.16,$5.84,1.74
2022-03-31,14.25,$5.98,2.38
2021-12-31,20.65,$3.67,5.62
2021-09-30,22.82,$3.41,6.7
2021-06-30,20.83,$-2.40,0.0
2021-03-31,20.14,$-2.41,0.0
2020-12-31,15.13,$-2.21,0.0
2020-09-30,10.54,$-2.18,0.0
2020-06-30,24.44,$-2.12,0.0
2020-03-31,24.13,$-1.75,0.0
2019-12-31,17.23,$-1.86,0.0
