Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.05,,19.45
2024-12-31,33.71,$1.49,22.57
2024-09-30,31.09,$1.49,20.93
2024-06-30,23.85,$1.98,12.03
2024-03-31,22.35,$2.17,10.3
2023-12-31,25.86,$2.76,9.39
2023-09-30,20.03,$3.07,6.52
2023-06-30,20.91,$3.44,6.07
2023-03-31,23.56,$3.73,6.31
2022-12-31,31.64,$4.48,7.06
2022-09-30,31.36,$4.83,6.5
2022-06-30,34.45,$4.91,7.02
2022-03-31,39.26,$5.13,7.65
2021-12-31,41.72,$4.37,9.55
2021-09-30,39.51,$4.54,8.7
2021-06-30,37.78,$3.81,9.92
2021-03-31,36.93,$3.35,11.03
2020-12-31,27.13,$3.10,8.74
2020-09-30,19.26,$3.25,5.92
2020-06-30,20.43,$2.70,7.57
2020-03-31,18.4,$2.28,8.06
2019-12-31,30.53,$2.66,11.47
2019-09-30,26.94,$2.28,11.82
2019-06-30,27.63,$3.33,8.29
2019-03-31,24.57,$3.44,7.15
2018-12-31,24.41,$3.86,6.32
2018-09-30,30.38,$3.06,9.93
2018-06-30,31.47,$2.33,13.5
2018-03-31,29.54,$2.35,12.57
2017-12-31,29.53,$2.56,11.53
2017-09-30,31.16,$3.52,8.86
2017-06-30,30.37,$3.36,9.04
2017-03-31,30.43,$4.28,7.11
2016-12-31,29.51,$3.51,8.41
2016-09-30,22.38,$2.36,9.5
2016-06-30,21.1,$2.80,7.54
2016-03-31,20.03,$2.03,9.85
2015-12-31,19.22,$1.73,11.14
2015-09-30,18.51,$1.82,10.2
2015-06-30,19.63,$1.53,12.85
2015-03-31,18.24,$1.25,14.58
2014-12-31,17.98,$1.79,10.02
2014-09-30,15.66,$2.05,7.65
2014-06-30,16.9,$3.04,5.57
2014-03-31,16.82,$4.34,3.87
2013-12-31,18.84,$3.74,5.04
2013-09-30,15.42,$4.01,3.85
2013-06-30,14.25,$2.47,5.77
2013-03-31,13.15,$1.32,9.99
2012-12-31,12.61,$1.96,6.43
2012-09-30,12.41,$1.49,8.31
2012-06-30,11.53,$1.49,7.76
2012-03-31,11.56,$1.98,5.84
2011-12-31,11.11,$2.64,4.21
2011-09-30,9.21,$2.74,3.36
2011-06-30,11.26,$3.05,3.69
2011-03-31,11.5,$3.01,3.83
2010-12-31,11.44,$2.37,4.83
2010-09-30,9.61,$1.15,8.34
2010-06-30,8.69,$2.24,3.88
2010-03-31,9.29,$1.98,4.69
2009-12-31,5.5,$1.45,3.81
