United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.34,,27.29
2024-12-31,132.74,$3.46,38.4
2024-09-30,97.63,$2.98,32.8
2024-06-30,72.77,$2.54,28.66
2024-03-31,59.53,$2.29,25.97
2023-12-31,45.95,$2.11,21.74
2023-09-30,40.06,$2.06,19.41
2023-06-30,41.59,$1.86,22.41
2023-03-31,30.37,$1.81,16.75
2022-12-31,27.96,$1.37,20.44
2022-09-30,20.27,$1.12,18.09
2022-06-30,20.91,$0.97,21.53
2022-03-31,22.93,$0.76,30.12
2021-12-31,25.46,$0.92,27.68
2021-09-30,23.81,$1.20,19.81
2021-06-30,27.38,$1.23,22.22
2021-03-31,26.29,$1.54,17.08
2020-12-31,22.39,$1.48,15.11
2020-09-30,17.67,$1.17,15.16
2020-06-30,16.53,$1.03,16.09
2020-03-31,14.43,$0.85,16.94
2019-12-31,17.61,$0.73,24.17
2019-09-30,14.12,$0.03,458.35
2019-06-30,14.74,$-0.19,0.0
2019-03-31,14.18,$-0.41,0.0
2018-12-31,13.03,$-0.51,0.0
2018-09-30,14.47,$0.15,95.56
2018-06-30,15.35,$0.15,105.34
2018-03-31,13.36,$0.38,35.17
2017-12-31,14.05,$0.48,29.01
2017-09-30,15.29,$0.59,25.81
2017-06-30,14.26,$0.78,18.24
2017-03-31,14.33,$0.66,21.75
2016-12-31,13.71,$0.73,18.74
2016-09-30,11.93,$0.72,16.5
2016-06-30,10.64,$0.75,14.23
2016-03-31,10.8,$0.76,14.2
2015-12-31,9.87,$0.77,12.87
2015-09-30,8.18,$0.75,10.96
2015-06-30,10.38,$0.63,16.43
2015-03-31,11.5,$0.85,13.54
2014-12-31,12.97,$0.74,17.57
2014-09-30,10.33,$0.79,13.03
2014-06-30,11.49,$0.97,11.9
2014-03-31,9.96,$0.79,12.62
2013-12-31,10.8,$0.89,12.1
2013-09-30,10.34,$0.79,13.16
2013-06-30,9.22,$0.73,12.71
2013-03-31,9.39,$0.80,11.67
2012-12-31,8.32,$0.82,10.14
2012-09-30,8.51,$0.88,9.64
2012-06-30,8.24,$0.93,8.9
2012-03-31,10.57,$0.96,11.02
2011-12-31,10.61,$0.92,11.55
2011-09-30,7.04,$0.85,8.32
2011-06-30,7.24,$0.84,8.59
2011-03-31,7.15,$0.80,8.99
2010-12-31,7.44,$0.78,9.57
2010-09-30,6.82,$0.82,8.34
2010-06-30,6.8,$0.86,7.89
2010-03-31,6.83,$0.74,9.23
2009-12-31,6.1,$0.79,7.75
