OFS Capital Price to Free Cash Flow Ratio Historical Data,OFS Capital Price to Free Cash Flow Ratio Historical Data,OFS Capital Price to Free Cash Flow Ratio Historical Data,OFS Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.6,,3.9
2024-12-31,8.07,$2.46,3.28
2024-09-30,8.45,$5.71,1.48
2024-06-30,8.53,$7.12,1.2
2024-03-31,9.22,$6.48,1.42
2023-12-31,10.5,$6.09,1.72
2023-09-30,9.8,$5.31,1.85
2023-06-30,8.37,$3.46,2.42
2023-03-31,8.43,$2.33,3.62
2022-12-31,8.05,$0.22,36.68
2022-09-30,6.34,$-0.75,0.0
2022-06-30,7.42,$-3.32,0.0
2022-03-31,9.47,$-3.15,0.0
2021-12-31,7.77,$-0.90,0.0
2021-09-30,7.22,$1.13,6.41
2021-06-30,6.78,$2.43,2.79
2021-03-31,5.85,$5.88,1.0
2020-12-31,4.65,$6.02,0.77
2020-09-30,2.99,$2.70,1.11
2020-06-30,2.77,$-0.86,0.0
2020-03-31,2.41,$-3.86,0.0
2019-12-31,6.09,$-7.61,0.0
2019-09-30,6.14,$-7.52,0.0
2019-06-30,6.17,$-5.29,0.0
2019-03-31,5.88,$-6.63,0.0
2018-12-31,5.16,$-7.57,0.0
2018-09-30,5.61,$-5.39,0.0
2018-06-30,5.26,$-3.77,0.0
2018-03-31,5.01,$-6.47,0.0
2017-12-31,5.01,$0.86,5.82
2017-09-30,5.39,$-2.63,0.0
2017-06-30,5.71,$-4.05,0.0
2017-03-31,5.53,$0.73,7.59
2016-12-31,5.24,$-1.17,0.0
2016-09-30,4.83,$-0.02,0.0
2016-06-30,4.65,$2.29,2.03
2016-03-31,4.56,$9.25,0.49
2015-12-31,3.93,$8.66,0.45
2015-09-30,3.4,$3.93,0.86
2015-06-30,3.86,$-0.14,0.0
2015-03-31,3.83,$-7.83,0.0
2014-12-31,3.59,$-6.77,0.0
2014-09-30,3.57,$-0.65,0.0
2014-06-30,3.74,$3.54,1.06
2014-03-31,3.51,$4.08,0.86
2013-12-31,3.5,$3.03,1.15
2013-09-30,3.37,$2.19,1.54
