Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,61.35,,13.23
2024-09-30,56.45,$4.64,12.17
2024-06-30,43.99,$6.41,6.86
2024-03-31,34.55,$7.89,4.38
2023-12-31,36.64,$6.60,5.55
2023-09-30,28.37,$11.04,2.57
2023-06-30,26.62,$8.95,2.97
2023-03-31,36.23,$8.86,4.09
2022-12-31,43.77,$9.01,4.86
2022-09-30,40.49,$9.45,4.28
2022-06-30,38.56,$8.44,4.57
2022-03-31,44.12,$7.93,5.56
2021-12-31,46.43,$7.53,6.17
2021-09-30,43.88,$8.07,5.44
2021-06-30,42.66,$7.46,5.72
2021-03-31,45.43,$5.91,7.69
2020-12-31,36.32,$4.76,7.63
2020-09-30,26.84,$3.54,7.59
2020-06-30,29.74,$3.07,9.69
2020-03-31,26.66,$3.41,7.83
2019-12-31,43.74,$4.00,10.94
2019-09-30,39.19,$4.94,7.93
2019-06-30,39.03,$6.09,6.41
2019-03-31,37.07,$6.10,6.08
2018-12-31,38.08,$7.01,5.43
2018-09-30,50.11,$5.71,8.78
2018-06-30,47.23,$5.43,8.7
2018-03-31,45.57,$6.11,7.46
2017-12-31,45.98,$5.37,8.56
2017-09-30,42.19,$6.19,6.81
2017-06-30,40.12,$6.32,6.34
2017-03-31,42.45,$5.75,7.38
2016-12-31,40.7,$5.59,7.28
2016-09-30,30.45,$5.74,5.3
2016-06-30,29.71,$6.10,4.87
2016-03-31,25.84,$6.55,3.94
2015-12-31,26.23,$4.55,5.76
2015-09-30,30.27,$5.08,5.96
2015-06-30,30.97,$4.02,7.7
2015-03-31,27.07,$2.46,11.0
2014-12-31,22.41,$3.96,5.66
2014-09-30,19.67,$3.35,5.87
2014-06-30,20.28,$6.79,2.99
2014-03-31,22.04,$7.64,2.88
2013-12-31,23.42,$8.77,2.67
2013-09-30,22.58,$6.20,3.64
2013-03-31,20.33,$4.18,4.86
2012-12-31,20.95,$1.75,11.96
2012-09-30,21.68,$0.99,21.83
2012-06-30,19.01,$-0.41,0.0
2012-03-31,13.66,$-0.85,0.0
2011-12-31,12.01,$3.13,3.83
2013-06-30,22.2,$2.29,9.71
2011-09-30,11.02,$5.28,2.09
2011-06-30,11.24,$5.12,2.19
2011-03-31,13.04,$4.42,2.95
2010-12-31,13.3,$5.01,2.65
2010-09-30,11.66,$3.37,3.46
2010-06-30,13.0,$2.23,5.82
2010-03-31,11.94,$1.95,6.12
2009-12-31,10.66,$2.04,5.23
