International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.29,,21.84
2024-12-31,53.82,$2.39,22.48
2024-09-30,48.46,$2.30,21.07
2024-06-30,42.39,$2.11,20.06
2024-03-31,37.93,$2.39,15.85
2023-12-31,34.68,$1.99,17.4
2023-09-30,33.57,$2.62,12.8
2023-06-30,29.71,$2.53,11.75
2023-03-31,33.17,$2.36,14.04
2022-12-31,31.48,$3.42,9.2
2022-09-30,28.45,$2.04,13.95
2022-06-30,37.16,$3.04,12.23
2022-03-31,40.61,$4.04,10.06
2021-12-31,40.93,$4.03,10.15
2021-09-30,48.27,$6.01,8.03
2021-06-30,52.47,$5.97,8.79
2021-03-31,45.9,$6.01,7.64
2020-12-31,41.77,$5.86,7.12
2020-09-30,33.7,$5.49,6.14
2020-06-30,28.86,$5.50,5.25
2020-03-31,25.14,$5.73,4.39
2019-12-31,36.75,$5.90,6.23
2019-09-30,33.0,$5.81,5.68
2019-06-30,34.19,$5.72,5.98
2019-03-31,36.09,$4.73,7.63
2018-12-31,31.16,$4.05,7.7
2018-09-30,37.53,$4.51,8.32
2018-06-30,39.41,$0.71,55.6
2018-03-31,40.08,$0.73,54.75
2017-12-31,43.11,$0.94,45.93
2017-09-30,41.91,$0.31,133.94
2017-06-30,41.39,$2.84,14.6
2017-03-31,36.8,$2.62,14.05
2016-12-31,38.12,$2.76,13.79
2016-09-30,34.13,$2.82,12.1
2016-06-30,29.86,$3.90,7.66
2016-03-31,28.62,$2.68,10.67
2015-12-31,25.95,$2.69,9.66
2015-09-30,25.73,$3.21,8.0
2015-06-30,32.13,$3.42,9.38
2015-03-31,37.18,$4.43,8.39
2014-12-31,35.64,$4.10,8.69
2014-09-30,31.53,$3.73,8.45
2014-06-30,32.62,$3.40,9.58
2014-03-31,29.43,$3.99,7.37
2013-12-31,31.23,$4.26,7.34
2013-09-30,28.31,$3.65,7.76
2013-06-30,27.83,$3.82,7.28
2013-03-31,29.07,$3.62,8.03
2012-12-31,24.69,$3.59,6.88
2012-09-30,22.31,$3.30,6.76
2012-06-30,17.62,$3.25,5.42
2012-03-31,21.21,$3.38,6.28
2011-12-31,17.74,$3.47,5.11
2011-09-30,13.81,$4.69,2.94
2011-06-30,17.53,$2.50,7.01
2011-03-31,17.59,$2.65,6.64
2010-12-31,15.78,$1.97,8.0
2010-09-30,12.54,$2.46,5.1
2010-06-30,12.97,$6.31,2.06
2010-03-31,14.03,$8.15,1.72
2009-12-31,15.25,$9.63,1.58
