Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.1,,5.11
2024-12-31,93.52,$17.45,5.36
2024-09-30,92.94,$15.90,5.84
2024-06-30,93.1,$13.43,6.93
2024-03-31,107.93,$11.70,9.22
2023-12-31,98.02,$12.08,8.12
2023-09-30,101.32,$13.45,7.53
2023-06-30,93.94,$13.65,6.88
2023-03-31,93.07,$13.49,6.9
2022-12-31,86.25,$12.75,6.76
2022-09-30,78.98,$11.25,7.02
2022-06-30,84.06,$11.44,7.35
2022-03-31,86.09,$11.67,7.38
2021-12-31,78.65,$12.35,6.37
2021-09-30,72.24,$11.54,6.26
2021-06-30,77.39,$10.45,7.41
2021-03-31,68.95,$10.39,6.64
2020-12-31,63.43,$8.82,7.19
2020-09-30,48.56,$8.58,5.66
2020-06-30,49.53,$8.02,6.17
2020-03-31,46.45,$7.31,6.36
2019-12-31,60.72,$7.44,8.16
2019-09-30,69.8,$7.50,9.31
2019-06-30,69.35,$8.39,8.27
2019-03-31,58.43,$8.16,7.16
2018-12-31,56.1,$7.35,7.63
2018-09-30,58.27,$6.17,9.44
2018-06-30,50.32,$6.10,8.25
2018-03-31,55.36,$5.66,9.78
2017-12-31,53.37,$6.16,8.67
2017-09-30,48.81,$7.20,6.78
2017-06-30,45.22,$5.92,7.63
2017-03-31,42.46,$5.45,7.79
2016-12-31,38.63,$5.30,7.29
2016-09-30,35.62,$4.81,7.4
2016-06-30,34.01,$4.42,7.7
2016-03-31,32.45,$5.48,5.92
2015-12-31,29.63,$6.28,4.72
2015-09-30,27.29,$5.46,5.0
2015-06-30,24.54,$5.37,4.57
2015-03-31,25.28,$4.24,5.96
2014-12-31,23.53,$3.79,6.21
2014-09-30,19.07,$4.27,4.47
2014-06-30,21.18,$5.21,4.06
2014-03-31,19.87,$5.76,3.45
2013-12-31,22.92,$5.67,4.04
2013-09-30,20.65,$4.99,4.14
2013-06-30,19.3,$4.62,4.18
2013-03-31,20.02,$3.65,5.48
2012-12-31,15.97,$3.82,4.18
2012-09-30,15.63,$2.68,5.84
2012-06-30,14.22,$1.79,7.92
2012-03-31,14.27,$2.13,6.69
2011-12-31,14.27,$2.01,7.09
2011-09-30,10.42,$3.15,3.3
2011-06-30,12.88,$2.81,4.58
2011-03-31,13.59,$2.69,5.05
2010-12-31,14.16,$2.80,5.05
2010-09-30,12.61,$2.88,4.38
2010-06-30,11.4,$3.80,3.0
2010-03-31,12.64,$3.68,3.44
2009-12-31,12.42,$4.11,3.02
