Arenas Price to Free Cash Flow Ratio Historical Data,Arenas Price to Free Cash Flow Ratio Historical Data,Arenas Price to Free Cash Flow Ratio Historical Data,Arenas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,0.0
2024-09-30,0.81,$-0.48,0.0
2024-06-30,0.77,$-0.67,0.0
2024-03-31,1.18,$-1.23,0.0
2023-12-31,2.38,$-1.28,0.0
2023-09-30,4.28,$-1.00,0.0
2023-06-30,4.58,$-1.22,0.0
2023-03-31,4.25,$-0.15,0.0
2022-12-31,10.61,$-0.97,0.0
