X4 Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,X4 Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,X4 Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,X4 Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2024-09-30,0.67,$-0.16,0.0
2024-06-30,0.58,$-0.05,0.0
2024-03-31,1.39,$-0.53,0.0
2023-12-31,0.84,$-0.54,0.0
2023-09-30,1.09,$-0.87,0.0
2023-06-30,1.94,$-0.41,0.0
2023-03-31,0.87,$-0.80,0.0
2022-12-31,0.99,$-1.22,0.0
2022-09-30,1.71,$-1.50,0.0
2022-06-30,0.97,$-2.43,0.0
2022-03-31,1.75,$-2.47,0.0
2021-12-31,2.29,$-2.78,0.0
2021-09-30,5.29,$-2.86,0.0
2021-06-30,6.5,$-3.06,0.0
2021-03-31,8.61,$-3.11,0.0
2020-12-31,6.43,$-3.00,0.0
2020-09-30,6.77,$-3.60,0.0
2020-06-30,9.32,$-3.49,0.0
2020-03-31,10.0,$1.94,5.16
2019-12-31,10.7,$-4.10,0.0
