Union Bankshares Price to Free Cash Flow Ratio Historical Data,Union Bankshares Price to Free Cash Flow Ratio Historical Data,Union Bankshares Price to Free Cash Flow Ratio Historical Data,Union Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.4,,18.53
2024-09-30,25.61,$1.69,15.12
2024-06-30,20.93,$1.39,15.02
2024-03-31,29.34,$1.51,19.41
2023-12-31,29.13,$1.60,18.2
2023-09-30,20.12,$2.48,8.12
2023-06-30,21.46,$3.91,5.49
2023-03-31,20.08,$3.46,5.8
2022-12-31,21.52,$6.28,3.42
2022-09-30,20.0,$5.28,3.79
2022-06-30,22.81,$10.42,2.19
2022-03-31,26.82,$10.07,2.66
2021-12-31,25.44,$5.70,4.47
2021-09-30,27.0,$6.35,4.25
2021-06-30,30.25,$3.15,9.6
2021-03-31,24.83,$-1.36,0.0
2020-12-31,21.02,$-1.80,0.0
2020-09-30,16.34,$-0.60,0.0
2020-06-30,14.83,$-4.44,0.0
2020-03-31,17.58,$-0.29,0.0
2019-12-31,28.07,$1.17,24.07
2019-09-30,24.2,$0.35,69.59
2019-06-30,28.13,$1.34,20.97
2019-03-31,34.1,$0.99,34.38
2018-12-31,35.77,$3.11,11.5
2018-09-30,39.81,$1.25,31.74
2018-06-30,38.65,$1.21,31.81
2018-03-31,37.61,$2.03,18.55
2017-12-31,38.99,$1.77,22.08
2017-09-30,35.43,$2.99,11.84
2017-06-30,34.55,$2.65,13.05
2017-03-31,31.03,$2.84,10.92
2016-12-31,32.61,$1.32,24.62
2016-09-30,24.23,$1.20,20.14
2016-06-30,25.66,$1.34,19.22
2016-03-31,19.96,$1.99,10.05
2015-12-31,19.31,$2.43,7.94
2015-09-30,18.13,$1.06,17.06
2015-06-30,17.72,$1.43,12.43
2015-03-31,17.0,$0.17,98.29
2014-12-31,15.78,$0.01,0.0
2014-09-30,15.76,$1.30,12.15
2014-06-30,16.2,$1.09,14.86
2014-03-31,14.75,$3.68,4.01
2013-12-31,14.65,$3.71,3.95
2013-09-30,13.27,$4.44,2.99
2013-06-30,13.54,$4.73,2.86
2013-03-31,12.52,$2.29,5.48
2012-12-31,11.88,$0.33,35.64
2012-09-30,11.71,$-0.29,0.0
2012-06-30,11.55,$-1.13,0.0
2012-03-31,11.23,$-1.17,0.0
2011-12-31,11.0,$1.32,8.36
2011-09-30,11.12,$0.33,33.87
2011-06-30,10.98,$0.82,13.43
2011-03-31,10.58,$2.71,3.9
2010-12-31,9.98,$2.29,4.36
2010-09-30,9.75,$1.69,5.78
2010-06-30,9.74,$5.02,1.94
2010-03-31,9.48,$0.53,18.0
2009-12-31,8.8,$0.17,51.51
