"STARWOOD PROPERTY TRUST, INC Price to Free Cash Flow Ratio Historical Data","STARWOOD PROPERTY TRUST, INC Price to Free Cash Flow Ratio Historical Data","STARWOOD PROPERTY TRUST, INC Price to Free Cash Flow Ratio Historical Data","STARWOOD PROPERTY TRUST, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.27,,7.78
2024-12-31,18.95,$2.61,7.27
2024-09-30,20.38,$1.77,11.5
2024-06-30,18.5,$2.26,8.17
2024-03-31,19.37,$2.69,7.2
2023-12-31,19.57,$1.86,10.53
2023-09-30,17.62,$-0.10,0.0
2023-06-30,17.23,$-0.83,0.0
2023-03-31,15.33,$0.19,80.31
2022-12-31,15.45,$1.24,12.44
2022-09-30,14.97,$1.46,10.24
2022-06-30,16.73,$-1.63,0.0
2022-03-31,18.92,$-3.17,0.0
2021-12-31,18.65,$-3.09,0.0
2021-09-30,18.37,$0.47,39.5
2021-06-30,19.32,$2.17,8.92
2021-03-31,17.94,$4.06,4.42
2020-12-31,13.73,$3.70,3.71
2020-09-30,10.47,$4.72,2.22
2020-06-30,10.06,$5.41,1.86
2020-03-31,6.68,$2.02,3.31
2019-12-31,15.53,$1.03,15.01
2019-09-30,14.85,$0.00,0.0
2019-06-30,13.66,$1.53,8.95
2019-03-31,13.15,$2.04,6.43
2018-12-31,11.36,$2.92,3.89
2018-09-30,12.11,$-1.18,0.0
2018-06-30,11.95,$-1.89,0.0
2018-03-31,11.28,$-1.62,0.0
2017-12-31,11.24,$-2.92,0.0
2017-09-30,11.18,$0.72,15.48
2017-06-30,11.28,$0.27,41.67
2017-03-31,11.14,$0.94,11.91
2016-12-31,10.6,$2.24,4.74
2016-09-30,10.64,$2.33,4.56
2016-06-30,9.59,$1.96,4.88
2016-03-31,8.56,$2.72,3.15
2015-12-31,9.06,$2.73,3.32
2015-09-30,8.84,$1.00,8.82
2015-06-30,9.08,$1.19,7.64
2015-03-31,10.0,$0.90,11.09
2014-12-31,9.38,$0.56,16.72
2014-09-30,8.68,$0.60,14.58
2014-06-30,9.2,$-0.66,0.0
2014-03-31,8.95,$-1.40,0.0
2013-12-31,8.3,$-1.81,0.0
2013-09-30,7.09,$-2.73,0.0
2013-06-30,7.2,$-1.23,0.0
2013-03-31,7.96,$-1.18,0.0
2012-12-31,6.5,$0.86,7.54
2012-09-30,6.56,$2.14,3.07
2012-06-30,5.92,$3.72,1.59
2012-03-31,5.75,$3.40,1.69
2011-12-31,4.98,$0.92,5.42
2011-09-30,4.53,$-1.54,0.0
2011-06-30,5.3,$-3.49,0.0
2011-03-31,5.67,$-2.70,0.0
2010-12-31,5.38,$-1.99,0.0
2010-09-30,4.81,$0.30,15.93
2010-06-30,4.05,$0.39,10.34
