NeoVolta Price to Free Cash Flow Ratio Historical Data,NeoVolta Price to Free Cash Flow Ratio Historical Data,NeoVolta Price to Free Cash Flow Ratio Historical Data,NeoVolta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.54,,0.0
2024-12-31,5.21,$-0.06,0.0
2024-09-30,3.09,$-0.04,0.0
2024-06-30,2.64,$-0.03,0.0
2024-03-31,1.18,$-0.08,0.0
2023-12-31,1.6,$-0.06,0.0
2023-09-30,2.49,$-0.07,0.0
2023-06-30,3.28,$-0.07,0.0
2023-03-31,2.56,$-0.08,0.0
