LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.98,,13.35
2024-12-31,36.75,$3.07,11.97
2024-09-30,39.61,$2.84,13.94
2024-06-30,40.96,$2.81,14.58
2024-03-31,52.25,$3.85,13.58
2023-12-31,46.48,$3.72,12.5
2023-09-30,47.84,$3.93,12.16
2023-06-30,56.01,$3.54,15.82
2023-03-31,54.3,$3.04,17.86
2022-12-31,50.83,$3.70,13.75
2022-09-30,44.65,$2.61,17.1
2022-06-30,46.27,$3.10,14.91
2022-03-31,42.59,$3.29,12.94
2021-12-31,56.01,$3.67,15.24
2021-09-30,46.74,$5.04,9.28
2021-06-30,45.72,$4.30,10.64
2021-03-31,39.32,$5.33,7.38
2020-12-31,32.74,$4.22,7.75
2020-09-30,25.76,$3.41,7.56
2020-06-30,24.34,$3.66,6.65
2020-03-31,19.05,$2.73,6.98
2019-12-31,33.16,$2.62,12.66
2019-09-30,29.22,$3.07,9.52
2019-06-30,24.72,$2.59,9.54
2019-03-31,26.36,$1.68,15.72
2018-12-31,22.04,$1.55,14.26
2018-09-30,29.42,$1.21,24.39
2018-06-30,29.63,$0.93,31.88
2018-03-31,35.25,$0.98,36.11
2017-12-31,37.78,$1.12,33.68
2017-09-30,33.43,$1.20,27.76
2017-06-30,30.61,$1.43,21.46
2017-03-31,27.19,$1.53,17.75
2016-12-31,28.47,$1.39,20.44
2016-09-30,32.94,$1.10,30.06
2016-06-30,29.45,$1.35,21.8
2016-03-31,29.66,$0.99,30.06
2015-12-31,27.52,$1.22,22.64
2015-09-30,26.34,$1.40,18.81
2015-06-30,28.1,$1.23,22.75
2015-03-31,23.74,$1.10,21.5
2014-12-31,26.12,$0.81,32.27
2014-09-30,24.7,$0.91,27.02
2014-06-30,24.79,$0.83,29.99
2014-03-31,24.48,$1.04,23.62
2013-12-31,30.56,$1.11,27.51
2013-09-30,29.61,$0.91,32.54
2013-06-30,23.92,$0.69,34.77
2013-03-31,20.21,$0.38,53.67
2012-12-31,19.6,$0.39,49.98
2012-09-30,17.16,$0.50,34.39
2012-06-30,15.5,$0.50,31.23
2012-03-31,14.48,$0.53,27.56
2011-12-31,13.97,$0.43,32.62
2011-09-30,11.22,$0.30,37.1
2011-06-30,12.12,$0.26,46.39
2011-03-31,11.19,$0.27,40.81
2010-12-31,10.55,$0.34,31.04
2010-09-30,9.66,$0.38,25.52
2010-06-30,8.96,$0.41,21.59
2010-03-31,9.43,$0.53,17.76
2009-12-31,9.1,$0.38,24.0
