Edible Garden AG Price to Free Cash Flow Ratio Historical Data,Edible Garden AG Price to Free Cash Flow Ratio Historical Data,Edible Garden AG Price to Free Cash Flow Ratio Historical Data,Edible Garden AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.66,,0.0
2024-09-30,0.27,$-424.14,0.0
2024-06-30,1.29,$-370.58,0.0
2024-03-31,0.32,$-125.99,0.0
2023-12-31,0.5,"$-1,445.67",0.0
2023-09-30,0.74,"$-1,087.81",0.0
2023-06-30,1.27,"$-1,186.04",0.0
2023-03-31,2.3,"$-1,459.05",0.0
