Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.02,,24.83
2024-12-31,6.92,$0.24,28.55
2024-09-30,7.4,$0.30,24.87
2024-06-30,7.38,$0.50,14.83
2024-03-31,9.85,$0.56,17.46
2023-12-31,8.53,$0.50,16.97
2023-09-30,7.09,$0.43,16.57
2023-06-30,9.24,$0.44,21.18
2023-03-31,9.21,$0.44,20.79
2022-12-31,8.36,$0.34,24.73
2022-09-30,7.33,$0.26,28.37
2022-06-30,6.75,$0.07,92.34
