Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,66.43,,1375.36
2024-12-31,68.26,$0.05,1413.25
2024-09-30,80.49,$1.13,71.31
2024-06-30,63.08,$2.65,23.82
2024-03-31,58.13,$2.41,24.09
2023-12-31,57.45,$2.54,22.6
2023-09-30,55.2,$2.73,20.19
2023-06-30,49.71,$2.42,20.56
2023-03-31,45.75,$2.01,22.76
2022-12-31,41.25,$1.66,24.91
2022-09-30,35.56,$1.35,26.38
2022-06-30,35.66,$1.10,32.43
2022-03-31,45.5,$1.68,27.02
2021-12-31,53.8,$2.13,25.3
2021-09-30,51.08,$1.30,39.33
2021-06-30,47.96,$1.73,27.8
2021-03-31,41.45,$1.72,24.17
