Porch Price to Free Cash Flow Ratio Historical Data,Porch Price to Free Cash Flow Ratio Historical Data,Porch Price to Free Cash Flow Ratio Historical Data,Porch Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.4,,0.0
2024-12-31,4.92,$-0.45,0.0
2024-09-30,1.54,$-0.56,0.0
2024-06-30,1.51,$0.16,9.21
2024-03-31,4.31,$0.57,7.54
2023-12-31,3.08,$0.25,12.41
2023-09-30,0.8,$0.59,1.35
2023-06-30,1.38,$-0.34,0.0
2023-03-31,1.43,$-0.36,0.0
2022-12-31,1.88,$-0.29,0.0
2022-09-30,2.25,$-0.15,0.0
2022-06-30,2.56,$-0.17,0.0
2022-03-31,6.95,$-0.33,0.0
2021-12-31,15.59,$-0.42,0.0
2021-09-30,17.68,$-1.34,0.0
2021-06-30,19.34,$-1.44,0.0
2021-03-31,17.7,$-1.39,0.0
2020-12-31,14.27,$-1.42,0.0
