Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.73,,21.9
2024-12-31,37.24,$0.86,43.55
2024-09-30,35.93,$1.44,24.97
2024-06-30,34.4,$1.71,20.11
2024-03-31,44.38,$1.46,30.39
2023-12-31,38.73,$2.63,14.73
2023-09-30,34.58,$2.06,16.8
2023-06-30,40.19,$2.19,18.35
2023-03-31,36.67,$2.48,14.8
2022-12-31,31.98,$1.04,30.85
2022-09-30,25.7,$0.91,28.13
2022-06-30,27.81,$1.20,23.25
2022-03-31,41.48,$1.28,32.51
2021-12-31,45.2,$1.36,33.17
2021-09-30,47.18,$2.15,21.91
2021-06-30,47.01,$2.79,16.84
2021-03-31,51.35,$3.83,13.42
2020-12-31,37.37,$4.41,8.47
2020-09-30,32.12,$4.78,6.72
2020-06-30,32.4,$4.87,6.65
2020-03-31,24.16,$4.08,5.92
2019-12-31,38.63,$3.49,11.07
2019-09-30,35.1,$3.26,10.75
2019-06-30,40.37,$2.43,16.62
2019-03-31,32.99,$2.85,11.58
2018-12-31,28.91,$2.55,11.36
2018-09-30,37.87,$2.09,18.13
2018-06-30,41.48,$2.07,20.02
2018-03-31,34.24,$2.36,14.49
2017-12-31,38.15,$2.21,17.28
2017-09-30,36.1,$2.60,13.87
2017-06-30,24.2,$2.61,9.29
2017-03-31,23.59,$2.21,10.69
2016-12-31,25.66,$2.45,10.46
2016-09-30,16.9,$2.57,6.59
2016-06-30,13.37,$1.68,7.96
2016-03-31,14.85,$1.49,9.95
2015-12-31,17.76,$0.98,18.11
2015-09-30,17.03,$0.56,30.68
2015-06-30,23.4,$0.90,25.91
2015-03-31,25.18,$1.04,24.24
2014-12-31,26.17,$1.13,23.25
2014-09-30,20.49,$1.01,20.37
2014-06-30,25.16,$0.81,31.24
2014-03-31,24.88,$0.43,57.32
2013-12-31,25.21,$0.53,47.7
2013-09-30,22.32,$0.83,27.03
2013-06-30,19.8,$1.40,14.1
2013-03-31,17.88,$1.40,12.8
2012-12-31,15.35,$1.44,10.65
2012-09-30,14.04,$1.00,14.0
2012-06-30,14.02,$0.43,32.41
2012-03-31,15.13,$0.60,25.04
2011-12-31,11.79,$1.19,9.94
2011-09-30,10.18,$0.08,132.04
2011-06-30,16.68,$-0.05,0.0
2011-03-31,17.15,$-0.42,0.0
2010-12-31,18.87,$-0.57,0.0
2010-09-30,15.41,$-0.32,0.0
2010-06-30,12.98,$0.70,18.59
2010-03-31,14.74,$1.38,10.68
2009-12-31,12.7,$3.14,4.05
