Innventure Price to Free Cash Flow Ratio Historical Data,Innventure Price to Free Cash Flow Ratio Historical Data,Innventure Price to Free Cash Flow Ratio Historical Data,Innventure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.36,,0.0
2024-09-30,10.01,$-0.15,0.0
2024-06-30,10.9,$-0.19,0.0
2024-03-31,10.97,$-0.13,0.0
2023-12-31,10.84,$-0.15,0.0
2023-09-30,10.66,$-0.02,0.0
2023-06-30,10.48,$-0.07,0.0
2023-03-31,10.27,$-0.08,0.0
2022-12-31,10.1,$-0.09,0.0
2022-09-30,9.87,$-0.08,0.0
