Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,95.78,,9.64
2024-12-31,94.7,$9.94,9.53
2024-09-30,108.33,$7.66,14.15
2024-06-30,112.59,$11.00,10.24
2024-03-31,142.83,$10.44,13.69
2023-12-31,138.46,$10.54,13.14
2023-09-30,130.84,$9.87,13.25
2023-06-30,139.22,$7.49,18.58
2023-03-31,134.51,$2.42,55.61
2022-12-31,118.93,$6.40,18.6
2022-09-30,114.13,$0.47,244.54
2022-06-30,119.38,$-3.97,0.0
2022-03-31,134.48,$0.69,196.14
2021-12-31,171.58,$1.41,121.97
2021-09-30,146.15,$5.50,26.57
2021-06-30,163.19,$15.97,10.22
2021-03-31,168.53,$3.85,43.83
2020-12-31,147.65,$3.49,42.33
2020-09-30,101.09,$4.26,23.73
2020-06-30,101.06,$-0.44,0.0
2020-03-31,75.32,$13.98,5.39
2019-12-31,126.3,$10.99,11.49
2019-09-30,107.86,$14.98,7.2
2019-06-30,126.52,$13.50,9.37
2019-03-31,122.59,$14.44,8.49
2018-12-31,110.44,$16.67,6.63
2018-09-30,129.66,$14.23,9.11
2018-06-30,165.45,$15.25,10.85
2018-03-31,165.13,$16.00,10.32
2017-12-31,156.18,$17.16,9.1
2017-09-30,152.58,$14.86,10.27
2017-06-30,124.82,$14.54,8.59
2017-03-31,123.98,$14.51,8.54
2016-12-31,115.51,$14.92,7.74
2016-09-30,105.55,$16.48,6.4
2016-06-30,88.38,$16.21,5.45
2016-03-31,96.3,$14.85,6.49
2015-12-31,106.09,$10.10,10.51
2015-09-30,93.76,$9.18,10.22
2015-06-30,96.53,$8.83,10.94
2015-03-31,95.08,$5.88,16.16
2014-12-31,83.97,$6.16,13.64
2014-09-30,73.82,$4.54,16.26
2014-06-30,76.16,$3.53,21.56
2014-03-31,71.23,$2.70,26.34
2013-12-31,68.72,$4.16,16.52
2013-09-30,60.61,$3.34,18.15
2013-06-30,51.08,$3.38,15.11
2013-03-31,46.22,$3.00,15.39
2012-12-31,39.33,$2.72,14.46
2012-09-30,31.63,$2.40,13.17
2012-06-30,31.47,$2.22,14.16
2012-03-31,38.63,$2.91,13.27
2011-12-31,32.97,$4.33,7.61
2011-09-30,35.43,$4.02,8.81
2011-06-30,44.05,$4.12,10.7
2011-03-31,40.15,$4.70,8.54
2010-12-31,40.45,$3.96,10.21
2010-09-30,32.35,$-1.77,0.0
