Greenlane Holdings Price to Free Cash Flow Ratio Historical Data,Greenlane Holdings Price to Free Cash Flow Ratio Historical Data,Greenlane Holdings Price to Free Cash Flow Ratio Historical Data,Greenlane Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.46,,0.0
2024-09-30,4.9,$-11.10,0.0
2024-06-30,3.74,$-38.86,0.0
2024-03-31,5.72,$-19.91,0.0
2023-12-31,5.7,$-7.71,0.0
2023-09-30,7.81,$-42.78,0.0
2023-06-30,10.65,$50.92,0.21
2023-03-31,40.03,$35.78,1.12
2022-12-31,31.63,$-286.60,0.0
2022-09-30,179.3,$-719.17,0.0
2022-06-30,432.08,$-776.20,0.0
2022-03-31,1232.0,$-391.04,0.0
2021-12-31,2121.02,"$-2,340.16",0.0
2021-09-30,5214.0,"$-3,566.64",0.0
2021-06-30,9834.0,"$-3,758.73",0.0
2021-03-31,11671.0,"$-4,415.44",0.0
2020-12-31,8712.0,"$-2,594.89",0.0
2020-09-30,4928.0,"$-1,673.74",0.0
2020-06-30,8756.0,"$-4,852.35",0.0
2020-03-31,3784.0,"$-8,880.72",0.0
