Tuniu Price to Free Cash Flow Ratio Historical Data,Tuniu Price to Free Cash Flow Ratio Historical Data,Tuniu Price to Free Cash Flow Ratio Historical Data,Tuniu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.06,,4.18
2024-09-30,1.42,$0.25,5.6
2024-06-30,0.84,$0.25,3.3
2024-03-31,0.74,$0.25,2.92
2023-12-31,0.67,$0.25,2.64
2023-09-30,1.2,$-0.18,0.0
2023-06-30,1.65,$-0.18,0.0
2023-03-31,1.87,$-0.18,0.0
2022-12-31,1.51,$-0.18,0.0
2022-09-30,0.66,$-0.31,0.0
2022-06-30,1.05,$-0.31,0.0
2022-03-31,0.89,$-0.31,0.0
2021-12-31,0.97,$-0.31,0.0
2021-09-30,1.51,$-1.60,0.0
2021-06-30,2.38,$-1.60,0.0
2021-03-31,3.46,$-1.60,0.0
2020-12-31,1.76,$-1.60,0.0
2020-09-30,1.18,$-0.28,0.0
2020-06-30,1.23,$-0.28,0.0
2020-03-31,1.0,$-0.28,0.0
2019-12-31,2.52,$-0.28,0.0
2019-09-30,2.98,$0.17,17.36
2019-06-30,3.23,$0.17,18.81
2019-03-31,4.8,$0.17,27.96
2018-12-31,4.86,$0.17,28.31
2018-09-30,7.18,$-0.71,0.0
2018-06-30,8.47,$-0.71,0.0
2018-03-31,6.02,$-0.71,0.0
2017-12-31,7.67,$-0.71,0.0
2017-09-30,7.82,$-2.73,0.0
2017-06-30,8.03,$-2.73,0.0
2017-03-31,8.76,$-2.73,0.0
2016-12-31,8.75,$-2.73,0.0
2016-09-30,10.12,$-1.08,0.0
2016-06-30,8.43,$-1.08,0.0
2016-03-31,10.43,$-1.08,0.0
2015-12-31,15.98,$-1.08,0.0
2015-09-30,11.89,$-0.87,0.0
2015-06-30,18.02,$-0.87,0.0
2015-03-31,12.58,$-0.87,0.0
