Cidara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cidara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cidara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cidara Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.1,,0.0
2024-12-31,26.88,$-27.82,0.0
2024-09-30,10.75,$-25.57,0.0
2024-06-30,11.94,$-27.61,0.0
2024-03-31,18.4,$-4.54,0.0
2023-12-31,15.88,$-5.25,0.0
2023-09-30,18.84,$-8.70,0.0
2023-06-30,22.6,$0.26,86.89
2023-03-31,25.4,$-3.40,0.0
2022-12-31,15.13,$-8.19,0.0
2022-09-30,12.56,$-7.16,0.0
2022-06-30,9.77,$-20.46,0.0
2022-03-31,16.65,$-15.82,0.0
2021-12-31,25.4,$-9.64,0.0
2021-09-30,44.8,$-10.34,0.0
2021-06-30,40.4,$-11.41,0.0
2021-03-31,53.2,$-19.03,0.0
2020-12-31,40.0,$-26.28,0.0
2020-09-30,57.0,$-32.49,0.0
2020-06-30,73.8,$-12.43,0.0
2020-03-31,49.6,$-15.07,0.0
2019-12-31,76.8,$-19.09,0.0
2019-09-30,39.9,$-19.52,0.0
2019-06-30,33.6,$-39.26,0.0
2019-03-31,53.0,$-41.88,0.0
2018-12-31,47.0,$-43.97,0.0
2018-09-30,88.0,$-40.42,0.0
2018-06-30,104.0,$-51.33,0.0
2018-03-31,80.0,$-54.08,0.0
2017-12-31,136.0,$-57.39,0.0
2017-09-30,162.0,$-62.85,0.0
2017-06-30,150.0,$-57.54,0.0
2017-03-31,156.0,$-57.03,0.0
2016-12-31,208.0,$-55.45,0.0
2016-09-30,229.0,$-66.28,0.0
2016-06-30,206.2,$-62.32,0.0
2016-03-31,254.0,$-70.54,0.0
