Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.55,,8.48
2024-12-31,33.83,$3.48,9.71
2024-09-30,36.1,$4.10,8.81
2024-06-30,34.39,$4.27,8.06
2024-03-31,36.58,$2.57,14.21
2023-12-31,35.71,$1.95,18.33
2023-09-30,31.94,$1.68,19.01
2023-06-30,38.65,$1.03,37.37
2023-03-31,44.13,$2.60,16.96
2022-12-31,47.75,$2.61,18.26
2022-09-30,42.44,$3.37,12.61
2022-06-30,54.84,$3.85,14.23
2022-03-31,63.41,$3.54,17.93
2021-12-31,63.69,$3.85,16.57
2021-09-30,51.56,$3.25,15.86
2021-06-30,55.58,$3.46,16.08
2021-03-31,42.83,$3.86,11.08
2020-12-31,42.64,$3.64,11.71
2020-09-30,36.02,$3.23,11.13
2020-06-30,30.36,$2.45,12.37
2020-03-31,22.73,$1.98,11.45
2019-12-31,36.44,$2.06,17.73
2019-09-30,37.82,$2.12,17.87
2019-06-30,38.82,$2.21,17.57
2019-03-31,41.65,$2.06,20.17
2018-12-31,31.39,$1.57,20.04
2018-09-30,36.01,$0.31,114.43
2018-06-30,37.92,$0.84,44.97
2018-03-31,38.09,$1.04,36.61
2017-12-31,43.71,$1.29,33.94
2017-09-30,37.75,$2.88,13.1
2017-06-30,39.41,$3.08,12.8
2017-03-31,38.24,$3.24,11.81
2016-12-31,39.65,$3.23,12.29
2016-09-30,39.93,$2.46,16.23
2016-06-30,39.92,$2.42,16.49
2016-03-31,41.55,$2.28,18.21
2015-12-31,38.49,$4.02,9.57
2015-09-30,40.34,$3.93,10.28
2015-06-30,44.1,$4.10,10.75
2015-03-31,39.0,$4.35,8.96
2014-12-31,36.22,$-1.67,0.0
2014-09-30,29.68,$-0.98,0.0
2014-06-30,28.97,$-1.33,0.0
2014-03-31,27.76,$-1.67,0.0
2013-12-31,28.65,$2.50,11.45
2013-09-30,22.78,$2.52,9.03
2013-06-30,19.98,$2.19,9.14
2013-03-31,20.0,$1.80,11.09
2012-12-31,14.44,$1.45,9.97
2012-09-30,12.65,$0.05,264.71
2012-06-30,12.52,$0.28,44.81
2012-03-31,15.54,$0.44,35.34
2011-12-31,13.76,$1.36,10.13
2011-09-30,13.25,$2.10,6.32
2011-06-30,18.74,$1.84,10.2
2011-03-31,20.89,$2.13,9.79
2010-12-31,19.85,$2.26,8.77
2010-09-30,17.43,$2.25,7.76
2010-06-30,15.2,$2.66,5.71
2010-03-31,16.15,$2.84,5.68
2009-12-31,16.65,$2.62,6.35
