Tivic Health Systems Price to Free Cash Flow Ratio Historical Data,Tivic Health Systems Price to Free Cash Flow Ratio Historical Data,Tivic Health Systems Price to Free Cash Flow Ratio Historical Data,Tivic Health Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.43,,0.0
2024-09-30,0.25,$-99.04,0.0
2024-06-30,0.39,$88.03,0.0
2024-03-31,1.25,$8.63,0.14
2023-12-31,1.8,$-185.05,0.0
2023-09-30,1.73,$-489.32,0.0
2023-06-30,0.11,"$-1,160.92",0.0
2023-03-31,0.15,"$-1,401.69",0.0
2022-12-31,0.64,"$-1,569.27",0.0
2022-09-30,1.45,"$-3,910.11",0.0
