Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.47,,10.95
2024-12-31,28.02,$2.42,11.59
2024-09-30,31.29,$2.40,13.05
2024-06-30,28.48,$2.40,11.87
2024-03-31,31.95,$1.97,16.25
2023-12-31,31.62,$0.97,32.51
2023-09-30,27.49,$1.93,14.21
2023-06-30,36.66,$1.47,24.86
2023-03-31,35.1,$1.34,26.13
2022-12-31,31.12,$1.17,26.5
2022-09-30,23.72,$1.53,15.46
2022-06-30,25.24,$2.32,10.88
2022-03-31,32.2,$3.75,8.58
2021-12-31,33.75,$4.72,7.15
2021-09-30,32.78,$4.94,6.63
2021-06-30,28.84,$5.78,4.99
2021-03-31,25.71,$4.39,5.86
2020-12-31,20.5,$4.27,4.8
2020-09-30,14.36,$3.20,4.48
2020-06-30,14.58,$1.98,7.37
2020-03-31,13.55,$2.91,4.66
2019-12-31,19.11,$3.40,5.62
2019-09-30,17.65,$2.85,6.19
2019-06-30,18.27,$2.89,6.32
2019-03-31,16.81,$2.63,6.39
2018-12-31,16.34,$1.00,16.38
2018-09-30,17.95,$1.34,13.42
2018-06-30,18.24,$0.79,23.03
2018-03-31,17.75,$0.86,20.71
2017-12-31,15.4,$1.83,8.43
2017-09-30,15.74,$0.49,32.25
2017-06-30,18.46,$1.72,10.76
2017-03-31,18.3,$1.43,12.76
2016-12-31,17.31,$0.77,22.63
2016-09-30,16.43,$1.69,9.72
2016-06-30,16.87,$1.13,14.95
2016-03-31,16.65,$1.55,10.72
2015-12-31,16.78,$1.27,13.22
2015-09-30,13.71,$1.63,8.39
2015-06-30,13.73,$1.36,10.08
2015-03-31,15.67,$1.12,14.01
2014-12-31,14.63,$1.29,11.37
2014-09-30,12.85,$1.09,11.81
2014-06-30,13.62,$0.96,14.15
2014-03-31,11.9,$1.11,10.7
2013-12-31,12.23,$0.98,12.51
2013-09-30,11.81,$0.36,32.87
2013-06-30,9.96,$-0.20,0.0
2013-03-31,8.87,$-0.33,0.0
2012-12-31,7.46,$0.39,19.1
2012-09-30,7.49,$0.03,226.14
2012-06-30,7.26,$0.61,11.93
2012-03-31,7.59,$0.78,9.79
2011-12-31,6.44,$0.25,26.15
2011-09-30,4.74,$0.75,6.35
2011-06-30,8.16,$0.56,14.68
2011-03-31,8.16,$0.81,10.09
2010-12-31,6.86,$1.33,5.16
2010-09-30,6.48,$1.01,6.44
2010-06-30,4.61,$1.20,3.84
2010-03-31,5.38,$0.96,5.6
2009-12-31,4.77,$0.93,5.12
