TuanChe Price to Free Cash Flow Ratio Historical Data,TuanChe Price to Free Cash Flow Ratio Historical Data,TuanChe Price to Free Cash Flow Ratio Historical Data,TuanChe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2021-12-31,2.83,$-11.44,0.0
2021-09-30,2.2,$-10.98,0.0
2021-06-30,3.0,$-10.98,0.0
2021-03-31,4.0,$-10.98,0.0
2020-12-31,3.35,$-10.98,0.0
2020-09-30,0.76,$-20.45,0.0
2020-06-30,1.59,$-20.45,0.0
2020-03-31,1.63,$-20.45,0.0
2019-12-31,1.43,$-20.45,0.0
2019-09-30,2.22,0,0.0
