Envela Price to Free Cash Flow Ratio Historical Data,Envela Price to Free Cash Flow Ratio Historical Data,Envela Price to Free Cash Flow Ratio Historical Data,Envela Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.44,,27.59
2024-09-30,5.48,$0.20,27.79
2024-06-30,4.49,$0.16,28.42
2024-03-31,4.62,$0.15,30.28
2023-12-31,4.86,$0.13,36.19
2023-09-30,4.74,$0.15,30.66
2023-06-30,7.36,$0.19,39.36
2023-03-31,6.5,$0.35,18.64
2022-12-31,5.26,$0.36,14.54
2022-09-30,5.06,$0.34,14.82
2022-06-30,7.13,$0.22,31.77
2022-03-31,4.66,$0.13,35.71
2021-12-31,4.07,$-0.01,0.0
2021-09-30,4.16,$-0.09,0.0
2021-06-30,4.8,$0.01,432.43
2021-03-31,5.02,$-0.02,0.0
2020-12-31,5.2,$0.04,135.77
2020-09-30,4.29,$0.13,32.62
2020-06-30,6.1,$0.13,45.39
2020-03-31,2.52,$0.05,51.01
2019-12-31,1.35,$-0.02,0.0
2019-09-30,1.2,$-0.07,0.0
2019-06-30,1.3,$-0.12,0.0
2019-03-31,0.43,$-0.01,0.0
2018-12-31,0.46,$0.01,0.0
2018-09-30,0.64,$-0.00,0.0
2018-06-30,0.72,$0.02,42.6
2018-03-31,0.83,$0.02,50.92
2017-12-31,0.93,$-0.00,0.0
2017-09-30,1.34,$0.17,7.74
2017-06-30,1.67,$0.13,13.33
2017-03-31,1.49,$0.09,16.36
2016-12-31,1.24,$0.11,11.28
2016-09-30,0.84,$-0.06,0.0
2016-06-30,0.73,$-0.02,0.0
2016-03-31,0.49,$0.04,12.63
2015-12-31,0.33,$-0.02,0.0
2015-09-30,0.35,$-0.04,0.0
2015-06-30,0.45,$-0.06,0.0
2015-03-31,1.49,$-0.13,0.0
2014-12-31,1.22,$-0.14,0.0
2014-09-30,1.37,$0.02,77.4
2014-06-30,1.46,$0.12,12.31
2014-03-31,2.15,$0.14,15.34
2013-12-31,2.23,$0.13,17.35
2013-09-30,2.97,$0.13,22.76
2013-06-30,2.96,$0.17,17.72
2013-03-31,5.61,$-0.03,0.0
2012-12-31,5.43,$-0.12,0.0
2012-09-30,7.43,$-0.25,0.0
2012-06-30,7.43,$0.15,49.97
2012-03-31,7.48,$0.29,26.16
2011-12-31,7.47,$0.67,11.19
2011-09-30,8.1,$0.46,17.74
2011-06-30,7.1,$-0.05,0.0
2011-03-31,5.1,$0.02,205.65
2010-12-31,4.28,$-0.21,0.0
2010-09-30,3.71,$0.01,0.0
2010-06-30,3.17,$0.01,296.26
2010-03-31,2.25,$-0.04,0.0
2009-12-31,1.41,$0.09,15.44
