Kaltura Price to Free Cash Flow Ratio Historical Data,Kaltura Price to Free Cash Flow Ratio Historical Data,Kaltura Price to Free Cash Flow Ratio Historical Data,Kaltura Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.83,,23.11
2024-12-31,2.2,$0.08,27.78
2024-09-30,1.36,$0.06,24.59
2024-06-30,1.2,$-0.01,0.0
2024-03-31,1.35,$-0.03,0.0
2023-12-31,1.95,$-0.09,0.0
2023-09-30,1.73,$-0.15,0.0
2023-06-30,2.12,$-0.16,0.0
2023-03-31,1.92,$-0.30,0.0
2022-12-31,1.72,$-0.41,0.0
2022-09-30,2.2,$-0.59,0.0
2022-06-30,1.99,$-0.74,0.0
