Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,104.33,,28.09
2024-12-31,86.38,$3.71,23.26
2024-09-30,90.73,$3.39,26.8
2024-06-30,104.88,$4.29,24.42
2024-03-31,102.09,$3.46,29.47
2023-12-31,82.11,$3.74,21.94
2023-09-30,71.33,$1.04,68.34
2023-06-30,68.76,$-4.66,0.0
2023-03-31,60.05,$-4.86,0.0
