Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.23,,21.67
2024-12-31,25.43,$1.21,21.01
2024-09-30,27.08,$1.12,24.1
2024-06-30,26.96,$1.08,24.95
2024-03-31,24.84,$1.14,21.72
2023-12-31,22.93,$1.17,19.64
2023-09-30,19.36,$1.13,17.2
2023-06-30,18.88,$1.29,14.65
2023-03-31,18.9,$1.28,14.82
2022-12-31,17.74,$1.03,17.24
2022-09-30,15.8,$1.09,14.47
2022-06-30,17.21,$0.95,18.2
2022-03-31,21.1,$0.97,21.73
2021-12-31,23.31,$1.13,20.66
2021-09-30,20.75,$1.01,20.54
2021-06-30,22.31,$0.94,23.85
2021-03-31,17.41,$0.89,19.53
2020-12-31,16.83,$1.00,16.9
2020-09-30,9.94,$0.97,10.25
2020-06-30,10.26,$1.03,9.96
2020-03-31,7.91,$0.91,8.73
2019-12-31,11.05,$0.56,19.71
2019-09-30,9.63,$0.36,26.94
2019-06-30,9.78,$-0.03,0.0
2019-03-31,9.55,$-0.13,0.0
2018-12-31,9.77,$-0.09,0.0
2018-09-30,11.8,$-0.06,0.0
2018-06-30,10.97,$-0.12,0.0
2018-03-31,9.11,$0.20,44.88
2017-12-31,9.38,$-0.17,0.0
2017-09-30,10.55,$-0.32,0.0
2017-06-30,12.0,$0.19,62.44
2017-03-31,12.32,$0.27,45.55
2016-12-31,9.28,$-0.22,0.0
2016-09-30,7.67,$0.78,9.88
2016-06-30,8.4,$0.56,14.92
2016-03-31,8.14,$0.60,13.63
2015-12-31,12.14,$1.47,8.25
2015-09-30,11.97,$0.64,18.58
2015-06-30,24.2,$0.62,39.35
2015-03-31,24.27,$0.32,75.5
2014-12-31,21.97,$0.59,37.01
2014-09-30,23.67,$1.01,23.48
