Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.33,,10.94
2024-12-31,23.38,$2.32,10.1
2024-09-30,24.3,$2.71,8.96
2024-06-30,25.09,$2.60,9.66
2024-03-31,25.56,$2.30,11.14
2023-12-31,20.84,$2.11,9.89
2023-09-30,22.31,$2.07,10.8
2023-06-30,20.25,$3.14,6.44
2023-03-31,21.07,$4.05,5.2
2022-12-31,22.47,$4.63,4.86
2022-09-30,18.91,$4.88,3.87
2022-06-30,19.95,$4.27,4.67
2022-03-31,22.48,$3.70,6.08
2021-12-31,17.77,$3.23,5.51
2021-09-30,16.75,$2.36,7.11
2021-06-30,14.64,$1.73,8.48
2021-03-31,10.75,$0.73,14.63
2020-12-31,6.61,$0.53,12.51
2020-09-30,4.84,$0.85,5.68
2020-06-30,5.68,$1.08,5.26
2020-03-31,3.75,$1.63,2.3
2019-12-31,11.78,$1.27,9.26
2019-09-30,10.4,$1.43,7.27
2019-06-30,10.85,$1.85,5.85
2019-03-31,11.24,$1.48,7.62
2018-12-31,10.5,$1.59,6.61
2018-09-30,14.06,$0.90,15.65
2018-06-30,10.18,$0.00,0.0
2018-03-31,9.47,0,0.0
