Janus Henderson Sustainable & Impact Core Bond ETF Price to Free Cash Flow Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF Price to Free Cash Flow Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF Price to Free Cash Flow Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.74,,5.48
2024-12-31,41.64,$5.61,7.43
2024-09-30,46.11,$-1.11,0.0
2024-06-30,50.02,$-1.16,0.0
2024-03-31,66.73,$0.80,83.82
2023-12-31,79.08,$2.03,38.87
2023-09-30,66.55,$7.96,8.36
2023-06-30,93.47,$10.75,8.7
2023-03-31,83.52,$8.48,9.85
2022-12-31,64.71,$8.56,7.56
2022-09-30,69.8,$6.95,10.05
2022-06-30,52.56,$5.76,9.13
2022-03-31,87.03,$7.36,11.82
2021-12-31,81.06,$6.36,12.75
2021-09-30,89.72,$7.65,11.74
2021-06-30,102.29,$7.48,13.67
2021-03-31,100.37,$5.91,16.97
2020-12-31,84.53,$7.35,11.5
2020-09-30,71.93,$6.31,11.4
2020-06-30,66.87,$5.41,12.36
2020-03-31,31.63,$6.31,5.01
2019-12-31,70.03,$5.49,12.75
2019-09-30,81.36,$5.01,16.26
2019-06-30,72.34,$5.13,14.11
2019-03-31,71.69,$3.95,18.16
2018-12-31,68.31,$2.22,30.8
2018-09-30,73.43,$2.65,27.66
2018-06-30,74.23,$1.62,45.72
2018-03-31,74.05,$0.29,259.56
2017-12-31,84.78,$2.73,31.09
2017-09-30,87.73,$3.16,27.78
2017-06-30,84.44,$2.50,33.82
2017-03-31,86.87,$4.23,20.54
2016-12-31,94.94,$3.33,28.48
2016-09-30,81.28,$1.82,44.76
2016-06-30,72.57,$2.93,24.78
2016-03-31,53.73,$3.03,17.73
2015-12-31,64.26,$3.36,19.15
2015-09-30,64.29,$3.68,17.47
2015-06-30,73.29,$4.42,16.59
2015-03-31,79.47,$4.34,18.32
2014-12-31,66.11,$3.94,16.76
2014-09-30,56.22,$3.35,16.8
2014-06-30,49.18,$1.99,24.77
2014-03-31,48.26,$0.79,61.37
2013-12-31,40.96,$1.10,37.28
2013-09-30,32.75,$2.54,12.88
2013-06-30,32.17,$2.45,13.15
2013-03-31,28.32,$2.88,9.83
2012-12-31,23.42,$2.78,8.41
2012-09-30,23.02,$1.26,18.3
2012-06-30,22.83,$1.62,14.1
2012-03-31,19.63,$0.38,51.57
2011-12-31,17.11,$-0.07,0.0
2011-09-30,16.31,$-0.11,0.0
2011-06-30,18.65,$-0.81,0.0
2011-03-31,18.57,$-0.13,0.0
2010-12-31,17.3,$-0.28,0.0
2010-09-30,17.56,$-0.60,0.0
2010-06-30,15.93,$-0.31,0.0
2010-03-31,19.28,$0.01,0.0
2009-12-31,16.11,$-0.43,0.0
