Granite Ridge Resources Price to Free Cash Flow Ratio Historical Data,Granite Ridge Resources Price to Free Cash Flow Ratio Historical Data,Granite Ridge Resources Price to Free Cash Flow Ratio Historical Data,Granite Ridge Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.1,,0.0
2024-12-31,6.46,$-0.44,0.0
2024-09-30,5.94,$-0.14,0.0
2024-06-30,6.33,$-0.16,0.0
2024-03-31,6.5,$-0.09,0.0
2023-12-31,6.02,$-0.42,0.0
2023-09-30,6.1,$-0.24,0.0
2023-06-30,6.63,$0.21,31.57
2023-03-31,5.87,$0.43,13.8
2022-12-31,9.03,$0.88,10.31
2022-09-30,9.98,$0.50,19.9
2022-06-30,9.99,$0.64,15.7
2022-03-31,9.85,$0.20,48.12
2021-12-31,9.81,$-0.07,0.0
2021-09-30,9.82,$-0.00,0.0
