Children's Place Price to Free Cash Flow Ratio Historical Data,Children's Place Price to Free Cash Flow Ratio Historical Data,Children's Place Price to Free Cash Flow Ratio Historical Data,Children's Place Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.25,,0.0
2024-10-31,13.91,$-9.38,0.0
2024-07-31,7.82,$-6.94,0.0
2024-04-30,6.96,$-3.44,0.0
2024-01-31,22.28,$5.22,4.27
2023-10-31,27.37,$-5.78,0.0
2023-07-31,31.44,$-2.74,0.0
2023-04-30,29.64,$-2.46,0.0
2023-01-31,45.37,$-4.13,0.0
2022-10-31,40.48,$0.28,145.98
2022-07-31,43.34,$2.66,16.27
2022-04-30,46.33,$6.41,7.23
2022-01-31,70.75,$6.99,10.12
2021-10-31,82.89,$3.61,22.95
2021-07-31,84.33,$1.01,83.15
2021-04-30,78.35,$-2.92,0.0
2021-01-31,73.47,$-4.53,0.0
2020-10-31,25.27,$-1.10,0.0
2020-07-31,24.41,$0.82,29.93
2020-04-30,29.56,$3.70,7.99
2020-01-31,59.67,$2.78,21.5
2019-10-31,81.07,$1.19,68.12
2019-07-31,95.97,$0.38,250.78
2019-04-30,110.22,$1.35,81.65
2019-01-31,94.03,$4.09,22.97
2018-10-31,144.41,$5.19,27.85
2018-07-31,118.37,$4.93,23.99
2018-04-30,122.39,$6.37,19.21
2018-01-31,143.2,$8.58,16.69
2017-10-31,103.7,$8.47,12.24
2017-07-31,100.34,$8.19,12.24
2017-04-30,108.63,$8.46,12.83
2017-01-31,91.46,$8.68,10.53
2016-10-31,71.48,$9.57,7.47
2016-07-31,78.46,$8.96,8.76
2016-04-30,72.94,$7.71,9.46
2016-01-31,60.79,$6.79,8.96
2015-10-31,49.98,$5.48,9.13
2015-07-31,53.78,$5.81,9.26
2015-04-30,56.21,$4.76,11.82
2015-01-31,55.43,$4.07,13.62
2014-10-31,45.43,$3.70,12.26
2014-07-31,46.17,$2.57,17.95
2014-04-30,44.04,$3.26,13.5
2014-01-31,48.2,$4.48,10.77
2013-10-31,49.96,$3.66,13.67
2013-07-31,49.45,$5.23,9.46
2013-04-30,44.77,$3.58,12.51
2013-01-31,45.61,$4.77,9.57
2012-10-31,53.47,$4.77,11.22
2012-07-31,46.49,$3.64,12.77
2012-04-30,42.08,$3.62,11.62
2012-01-31,45.66,$3.00,15.23
2011-10-31,42.97,$1.88,22.89
2011-07-31,44.22,$2.66,16.65
2011-04-30,48.66,$2.86,17.01
2011-01-31,38.33,$3.34,11.46
2010-10-31,40.32,$4.96,8.12
2010-07-31,38.3,$5.14,7.46
2010-04-30,41.93,$3.54,11.86
2010-01-31,29.1,$3.27,8.91
2009-10-31,28.78,$6.76,4.26
