X Financial Price to Free Cash Flow Ratio Historical Data,X Financial Price to Free Cash Flow Ratio Historical Data,X Financial Price to Free Cash Flow Ratio Historical Data,X Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.61,,5.39
2024-09-30,6.6,$2.34,2.82
2024-06-30,4.16,$2.34,1.78
2024-03-31,3.57,$2.34,1.52
2023-12-31,3.38,$2.34,1.44
2023-09-30,3.78,$0.85,4.42
2023-06-30,3.9,$0.85,4.56
2023-03-31,2.77,$0.85,3.24
2022-12-31,2.68,$0.85,3.14
2022-09-30,1.98,$1.25,1.59
2022-06-30,2.38,$1.25,1.91
2022-03-31,2.45,$1.25,1.96
2021-12-31,2.67,$1.25,2.14
2021-09-30,3.69,$-1.96,0.0
2021-06-30,12.09,$-1.96,0.0
2021-03-31,3.3,$-1.96,0.0
2020-12-31,1.78,$-1.96,0.0
2020-09-30,1.37,$1.58,0.87
2020-06-30,2.4,$1.58,1.52
2020-03-31,2.8,$1.58,1.77
2019-12-31,4.5,$1.58,2.85
2019-09-30,6.05,0,0.0
