Alset Price to Free Cash Flow Ratio Historical Data,Alset Price to Free Cash Flow Ratio Historical Data,Alset Price to Free Cash Flow Ratio Historical Data,Alset Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.88,,0.0
2024-09-30,1.29,$-0.94,0.0
2024-06-30,1.66,$-0.62,0.0
2024-03-31,0.7,$1.05,0.66
2023-12-31,1.03,$0.82,1.25
2023-09-30,1.32,$-0.44,0.0
2023-06-30,1.55,$-2.34,0.0
2023-03-31,1.59,$-5.09,0.0
2022-12-31,2.3,$-5.91,0.0
2022-09-30,0.26,$-25.52,0.0
2022-06-30,0.29,$-13.57,0.0
2022-03-31,0.46,$-23.71,0.0
2021-12-31,0.56,$-30.21,0.0
2021-09-30,2.35,$-8.65,0.0
