NextPlat Price to Free Cash Flow Ratio Historical Data,NextPlat Price to Free Cash Flow Ratio Historical Data,NextPlat Price to Free Cash Flow Ratio Historical Data,NextPlat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,0.0
2024-09-30,1.41,$-0.28,0.0
2024-06-30,1.08,$-0.08,0.0
2024-03-31,1.53,$-0.24,0.0
2023-12-31,1.65,$-0.24,0.0
2023-09-30,1.81,$-0.34,0.0
2023-06-30,2.72,$-0.39,0.0
2023-03-31,1.48,$-0.50,0.0
2022-12-31,1.26,$-0.45,0.0
2022-09-30,2.2,$-0.91,0.0
2022-06-30,1.93,$-1.08,0.0
2022-03-31,3.06,$-1.16,0.0
