CrossAmerica Partners LP Price to Free Cash Flow Ratio Historical Data,CrossAmerica Partners LP Price to Free Cash Flow Ratio Historical Data,CrossAmerica Partners LP Price to Free Cash Flow Ratio Historical Data,CrossAmerica Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.81,,9.39
2024-12-31,22.0,$2.54,8.67
2024-09-30,20.2,$2.67,7.57
2024-06-30,18.83,$2.16,8.73
2024-03-31,21.13,$2.16,9.79
2023-12-31,20.66,$2.33,8.88
2023-09-30,19.21,$2.76,6.96
2023-06-30,16.99,$3.74,4.54
2023-03-31,18.08,$3.40,5.31
2022-12-31,16.29,$3.79,4.3
2022-09-30,14.93,$3.04,4.91
2022-06-30,15.79,$2.28,6.93
2022-03-31,16.55,$2.16,7.66
2021-12-31,14.11,$1.82,7.75
2021-09-30,14.37,$1.84,7.81
2021-06-30,13.41,$2.04,6.56
2021-03-31,12.74,$2.73,4.67
2020-12-31,11.45,$3.00,3.81
2020-09-30,9.55,$2.62,3.64
2020-06-30,8.33,$2.52,3.31
2020-03-31,4.82,$1.99,2.43
2019-12-31,10.51,$1.62,6.5
2019-09-30,9.65,$2.50,3.87
2019-06-30,8.81,$2.21,3.99
2019-03-31,10.02,$2.05,4.88
2018-12-31,7.53,$2.41,3.13
2018-09-30,9.32,$2.22,4.19
2018-06-30,8.45,$2.74,3.08
2018-03-31,9.99,$2.96,3.38
2017-12-31,11.24,$3.07,3.66
2017-09-30,12.58,$2.62,4.8
2017-06-30,11.51,$2.12,5.42
2017-03-31,11.52,$1.97,5.86
2016-12-31,10.84,$1.84,5.89
2016-09-30,10.67,$2.29,4.67
2016-06-30,10.05,$2.53,3.97
2016-03-31,9.73,$2.14,4.56
2015-12-31,10.06,$2.09,4.82
2015-09-30,8.65,$1.84,4.71
2015-06-30,10.47,$1.22,8.61
2015-03-31,11.84,$1.30,9.11
2014-12-31,14.44,$0.79,18.36
2014-09-30,12.0,$0.35,34.38
2014-06-30,9.35,$0.90,10.43
2014-03-31,9.2,$1.52,6.06
2013-12-31,9.59,$1.63,5.9
2013-09-30,9.22,$2.48,3.71
