P3 Health Partners Price to Free Cash Flow Ratio Historical Data,P3 Health Partners Price to Free Cash Flow Ratio Historical Data,P3 Health Partners Price to Free Cash Flow Ratio Historical Data,P3 Health Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.17,,0.0
2024-09-30,0.39,$-0.39,0.0
2024-06-30,0.45,$0.03,17.52
2024-03-31,1.03,$0.15,6.92
2023-12-31,1.41,$-0.26,0.0
2023-09-30,1.47,$-2.89,0.0
2023-06-30,2.99,$-3.28,0.0
2023-03-31,1.06,$-2.98,0.0
2022-12-31,1.84,$-3.08,0.0
2022-09-30,4.62,$-0.40,0.0
2022-06-30,3.72,$-0.31,0.0
2022-03-31,7.82,$-0.69,0.0
